0,1,2,3
,As at,As at,As at
,"December 31, 2017","December 31, 2016","January 1, 2016"
Security deposits,83.61,75.42,70.42
Unclaimed dividend,4.78,2.89,2.63
"Payable for purchase of property,",35.45,33.05,47.12
plant and equipment,,,
Derivative liability,-,-,3.66
Dealer incentive schemes,210.55,167.34,176.86
Payable to employees,18.21,15.50,16.05
Liquidated damages,20.30,38.42,43.27
Total,372.90,332.62,360.01
17(a) Non-current provisions,,,
,As at,As at,As at
,"December 31, 2017","December 31, 2016","January 1, 2016"
Provision for employee benefits [Refer,346.12,344.07,282.04
note 30],,,
Provision for warranty,27.23,25.81,20.50
Total,373.35,369.88,302.54
17(b) Current provisions,,,
,As at,As at,As at
,"December 31, 2017","December 31, 2016","January 1, 2016"
Provision for employee benefits [Refer,282.92,240.65,211.62
note 30],,,
Provision for warranty,54.45,51.61,41.00
Other provisions,69.90,57.74,42.85
Total,407.27,350.00,295.47
