0,1,2,3,4
Total transferred receivables,"As atDecember 31, 20179.759.75","As atDecember 31, 201618.0318.03","As atJanuary 1, 201624.1324.13",
,Corresponding borrowings against receivables discounted,,,
7 (a),Cash and cash equivalents,,,
,,As at,As at,As at
,,"December 31, 2017","December 31, 2016","January 1, 2016"
,Cash on hand,0.66,0.58,0.71
,Balances with banks,,,
,In current accounts,73.58,52.27,234.30
,In deposit accounts,7.50,-,-
,In EEFC accounts,105.34,207.71,286.01
,Total,187.08,260.56,521.02
7 (b),Bank balances other than 7 (a) above,,,
,,As at,As at,As at
,,"December 31, 2017","December 31, 2016","January 1, 2016"
,Balances with banks- in deposits with original maturity of more than three but less than twelveÂ months,356.08,"1,314.63","1,316.21"
,In earmarked accounts,,,
,Unpaid dividend accounts,4.78,2.89,2.63
,Balances held as security against credit facilities,364.80,443.76,443.76
,Total,725.66,"1,761.28","1,762.60"
8,Other financial assets - current,,,
,,As at,As at,As at
,,"December 31, 2017","December 31, 2016","January 1, 2016"
,Interest accrued on fixed deposits,18.36,49.20,41.56
,Derivative asset,2.88,12.59,-
,Total,21.24,61.79,41.56
