0,1,2,3
S. No.,Particulars,Year Ended31.03.2016,Year Ended31.03.2015
Rupees,Rupees,,
I,(a) Sub Contracting Charges,"3,31,98,14,438","2,64,80,25,182"
,(b) Power & Fuel,"4,01,92,491","5,03,08,697"
,(c) Rent,"1.57.33,326",1.66.94.009
,(d) Repairs to Building,"1,78,230","1,49,578"
,(e) Repairs to Machinery,"28,91,549","7,27.956"
,(f) Insurance,"98,13,143","89,78,552"
,(g) Rates & Taxes (excluding Income Tax),"1,15,23,576","2,62,66,279"
,(h) Miscellaneous Expenditure,-,-
,Freight and Transportation Expenses,"6,05,36,593","7,27,54.785"
,Travelling Expenses,"2,68,88.450","2,26,15,496"
,Misc. Project Expenses,"5,34,215","1,57,722"
,Row Clearance Expenditure,"8,62,503","25,02,159"
,Tender Fee,"27,81,047","2,86,747"
,Commission & Brokerage Paid,"22,000","24,000"
,Rebates and Discounts,"2,20,03,716",-
,(i) Payment to Auditors:,,
,(i) As Auditor,"3,77,427","3,00,000"
,(ii) For Taxation Matters,"1,00,000","1,00,000"
,(iii) For Other Services,"1,00,000","1,00,000"
,Total Other Expenses,"3,51,43,52,705","2,84,99,91,162"
