0,1,2,3,4,5
,31 December 2017 Number,31,December 2016Number,,
,Outstanding at the beginning of the year,,"33,000",,Nil
,Granted during the year,,"17,000",,"33,000"
,Forfeited during the year,,Nil,,Nil
,Exercised during the year,,Nil,,Nil
,Expired during the year,,Nil,,Nil
,Outstanding at the end of the year,,"50,000",,"33,000"
,Exercisable at the end of the year,,Nil,,Nil
,Exercise Price,,Nil,,Nil
c),The expense recognized for employee services during the year is shown in the following table,,,,
,,,31 December 2017INR in Lacs,31 December 2016INR in Lacs,
,Equity Settled Performance Share Plans,,341.65,,250.74
,Stock Appreciation Rights (SAR),,54.15,,25.92
,Total,,395.80,,276.66
d),Details of Liabilities/Equity arising from Company's Cash settled transactions respectively,and Equity Settled,share,based payment,
,,31 December 2017INR in Lacs,31 December 2016INR in Lacs,,1 January 2016INR in Lacs
,Other Equity - Equity Settled,691.69,350.04,,99.30
,Current Liabilities (Cash Settled),65.97,-,,-
,Non-Current Liabilities (Cash Settled),14.10,25.92,,-
