0,1,2
NOTE 18. OTHER EQUITY,"March 31,2018","March 31, 2017"
General reserve,,
Balance in General reserve,"8,956.01","8,956.01"
,"8,956.01","8,956.01"
Capital redemption reserve,,
Balance in Capital redemption reserve,"5,710.00","5,710.00"
,"5,710.00","5,710.00"
Securities premium account,,
Opening balance,"1,67,197.55","1,66,618.60"
Add: Receipt during the year,167.03,578.95
Capital reserve,"1,67,364.58","1,67,197.55"
Balance in Capital reserve,"3,590.00","3,590.00"
,"3,590.00","3,590.00"
Retained earnings,,
Opening balance,"1,91,606.37","1,59,520.88"
Profit during the year as per statement of profit and loss,"41,716.78","32,064.97"
Items of other comprehensive income recognised directly in retained earnings,,
-Transfer to retained earnings of re - measurement gains / (losses) on,78.62,20.52
"defined benefit plans, net of taxes",,
Dividend (including dividend distribution tax),"(6,792.33)",-
,"2,26,609.44","1,91,606.37"
,"4,12,230.03","3,77,059.93"
