0,1,2,3,4
13,Other reserves,,('Million),
,Particulars,"December 31, 2017^","^December 31, 2016",
13.1,a),Share options outstanding accountOpening Balance,448.07,225.56
,,Add : Compensation related to employee share based payments,349.50,246.74
,,(Less) : Transferred on exercise of stock options,(65.13),(24.23)
,,Closing Balance,732.44,448.07
,b),Capital reserve (amalgamation reserve)Balance as per last balance sheet,4.38,4.38
,c),Capital redemption reserveOpening balance,,
,,Add : On buyback of shares during the year,11.39,-
,,Closing Balance,11.39,-
,d),Special Economic Zone Re-Investment ReserveOpening Balance,332.95,329.52
,Add,: Transfer from retained earnings,178.35,177.73
,Less: Transfer to retained earnings on utilisation for acquisition of plant & machinery,(487.22),(174.30),
,,Closing Balance,24.08,332.95
,,Total other reserves,772.29,785.40
