0,1,2,3,4
Particulars,14-16 Plan,15-17 Plan,16-18 Plan,17-19 Plan
Maximum number of Shares Eligible,"16,000","12,200","22,000","15,300"
Outstanding as at 1stJanuary 2016,"16,000","12,200",-,-
Granted during the year,-,-,"22,000",-
Forfeited during the year,-,-,-,-
Exercised during the year,-,-,-,-
Outstanding as at 31 December 2016,"16,000","12,200","22,000",-
Granted during the year,-,-,-,"15,300"
Forfeited during the year,"1,440",-,-,-
Exercised during the year,"14,560",-,-,-
Outstanding as at 31 December 2017,-,"12,200","22,000","15,300"
Vesting Period,2.7 years,2.7 years,2.7 years,2.6 years
Grant Date,06-May-14,20-Apr-15,20-Apr-16,12-Jun-17
Exercise price,Nil,Nil,Nil,Nil
Fair Value on the date of Grant,18.47,30.79,34.31,35.98
