0,1,2,3,4,5
NOTE 19. BORROWINGS,LONG TERM (NON-CURRENT),SHORT TERM (CURRENT),,,
"March31,2018","March31,2017","March31, 2018","March31, 2017",,
i),Loan from related parties (refer note 37) Unsecured,,,,
,From director*,-,-,"8,908.00","8,908.00"
,From subsidiary company*,-,-,"10,461.40","1,042.00"
,,-,-,"19,369.40","9,950.00"
ii),Line of credit (refer below note a) Secured,,,,
,Line of credit from bank,-,-,253.48,-
,,-,-,253.48,-
iii),Term loan (refer below note b) Secured,,,,
,From bank,"67,864.18",-,-,-
,,"67,864.18",-,-,-
Total (i+ii+iii),"67,864.18",-,"19,622.88","9,950.00",
