0,1,2,3,4,5,6,7
,Land,Buildings,Plant and equipment,Furniture and fixtures,Office equipment,Total,
- Freehold -,Leasehold,,,,,,
Gross Block,,,,,,,
"Balance as at 31st March, 2016",60,28,931,"2,370",61,41,"3,491"
Additions,-,1,284,934,7,22,"1,248"
Disposals,-,-,(5),(34),(2),(1),(42)
"Balance as at 31st March, 2017",60,29,"1,210","3,270",66,62,"4,697"
Additions,-,1,139,500,10,20,670
Disposals,-,(3),(6),(79),-,(8),(96)
"Balance as at 31st March, 2018",60,27,"1,343","3,691",76,74,"5,271"
Accumulated Depreciation,,,,,,,
"Balance as at 31st March, 2016",-,2,36,272,8,8,326
Additions,-,2,40,356,9,13,420
Disposals,-,-,(1),(14),(1),(1),(17)
Impairment Loss,-,-,-,0,0,0,0
"Balance as at 31st March, 2017",-,4,75,614,16,20,729
Additions,-,2,51,433,8,16,510
Disposals,-,(11,(1),(39),-,(7),(48)
"Balance as at 31st March, 2018",-,5,125,"1,008",24,29,"1,191"
Net Block,,,,,,,
"Balance as at 31st March, 2017",60,25,"1,135","2,656",50,42,"3,968"
"Balance as at 31st March, 2018",60,22,"1,218","2,683",52,45,"4,080"
Notes:,,,,,,,
"(a) Buildings include ' 0 crores (31st March, 2017: ' 0 crores) being the value of shares in co",-operative housing societies.,,,,,,
(b) The title deeds of Freehold Land aggregating ' 0,"crores (31st March, 2017:","' 2 crores), Leasehold Land, net block aggregating",,,,,
"' 1 crores, (31st March, 2017: ' 5 crores) are in the process of perfection of title.",,,,,,,
"(c) The Property, Plant and Equipment in 3A includes assets given",on lease mentioned in the below table:,,,,,,
,,,.        Plant and,Furniture,Office,,
,,ui ingequipment and fixtures,equipment,Total,,,
"Gross Block as at 31st March, 2016",,,1,62,0,0,63
"Accumulated Depreciation as at 31st March, 2016",,(0),(2),(0),(0),(2),
"Net Block as at 31st March, 2016",,,1,60,0,0,61
"Gross Block as at 31st March, 2017",,,0,55,0,0,55
"Accumulated Depreciation as at 31st March, 2017",,(0),(4),(0),(0),(4),
"Net Block as at 31st March, 2017",,,0,51,0,0,51
"Gross Block as at 31st March, 2018",,,0,70,0,0,70
Accumulated Depreciation as at 31st,"March, 2018",,(0),(12),(0),(0),(12)
"Net Block as at 31st March, 2018",,,0,58,0,0,58
