0,1,2,3,4,5,6,7,8,9
"III. PARTICULARS OF HOLDING, SUBSIDIARY AND ASSOCIATE COMPANIES: NA",,,,,,,,,
IV. SHARE HOLDING PATTERN (Equity Share Capital Breakup as percentage of Total Equity),,,,,,,,,
i) Category-wise Share Holding;-,,,,,,,,,
Category ofShareholders,No. of Shares held at the beginning of the year,No. of Shares held at the end of the year,%Change duringÂ the year,,,,,,
,Demat,Physica l,Total,% ofTotalShares,Demat,Physical,Total,% ofTotalShares,
A. Promoters,,,,,,,,,
(1)Indian,Demat,Physical,Total,% ofTotalShares,Demat,Physical,Total,% ofTotalShares,Demat
Individual/ HUF,6322264,0,6322264,33.44,6322264,0,6322264,33.44,
Central Govt,0,0,0,0,0,0,0,0,0
State Govt (s),0,0,0,0,0,0,0,0,0
Bodies Corp.,0,0,0,0,0,0,0,0,0
Banks / FI,0,0,0,0,0,0,0,0,0
Any Other....,0,0,0,0,0,0,0,0,0
Sub-total(A) (1) :-,6322264,0,6322264,33.44,6322264,0,6322264,33.44,
(2) Foreign,,,,,,,,,
a) NRIs -Individuals,0,0,0,0,0,0,0,0,0
b) Other -Individuals,0,0,0,0,0,0,0,0,0
c) Bodies Corp.,0,0,0,0,0,0,0,0,0
