0,1,2,3
"Naiitxu* SAvmgs CenllitiieOuoteti Sharw wrih Kodsh Mahihdrs Banh Lti., □uùlea Siia-e* witn IrUrgrsted Dignu Into Service* Lid .Lew : Provision Ihi Dimmullorrlnwhiiof ImnubrinftJ«",JÜDM.002D50K5.00liMQMM,30000.«20M9Û5 00SDOOOG.M,
Ï44MKN1855400«,2580905.00195Î945.W,,
725-496 CW,527060«,,
NOTE NO.O,,,
LC NG TERM LOAN3 AND ADVANCES'!,,,
inter Corporate [tepoiit»,,26MÜW W,25M0M «1
Socursd Tsmr Loans,,515904«,515504 DO
Sioch* on Hire ■ Agreement Value,207’317.00,,
"Lei*. Lear, income Ha-,er«u",-,»77817. W,2GT7817.DD
Lease Hani Receivable,8266230.00,,
Lms ■ Loankicomo Reversed,-,5256Î20.00,&2S6Î2Û.ÜÛ
,,,11840941.00
NOTE NO. 10,,,
OTHER NON-CURRENT ASSETS:,,,
Teiqphans Depeait,,3300.00,320D.M?
,,1200.00,32W.Q0
