0,1,2,3
15 - Current Loans,,,
Particulars,"December 31, 2017","December 31, 2016","January 01, 2016"
"Unsecured, considered good",,,
Loan to Fellow Subsidiary[Given against corporate guarantee bySanofi S.A France (ultimate holding company)] (Refer note 38),,"3,100",
Loan to employees,33,39,39
Total,33,"3,139",39
16 - Other current financial assets,,,
Particulars,"December 31, 2017","December 31, 2016","January 01, 2016"
Other deposits,-,10,-
Other receivables from related parties (Refer note 38)         -,33,21,
Total,-,43,21
