0,1,2,3
,"As atDecember 31, 2017(')","As atDecember 31, 2016(')",
8),"Trade Payablesa) Micro, Small and Medium Enterprises (Refer Note below)","17,60,424","26,85,492"
,b) Others,"27,54,74,418","25,50,74,514"
,"27,72,34,842","25,77,60,006",
,"The information below with respect to Micro, Small and Medium Enterprises, has been determined to the extent such parties have been identified on the basis of information available with the Company.",,
,"Total outstanding dues of Micro, Small and Medium Enterprises","Year ended December 31, 2017(')","Year ended December 31, 2016(')"
,a) Principal Amount due to suppliers registered under MSMED Act and remaining unpaid as at the year end.,"7,66,072","16,91,450"
,b) Interest due to suppliers registered underMSMED Act and remaining unpaid as at the year end.,"9,94,352","9,94,042"
,"c) Principal Amount paid to suppliers registered under MSMED Act, beyond the appointed day during the year.",-,"1,91,515"
,"d) Interest paid, other than under section 16 of MSMED Act, to suppliers registered under MSMED Act, beyond the appointed day during the year.",,
,"e) Interest paid, under section 16 of MSMED Act, to suppliers registered under MSMED Act, beyond the appointed day during the year.",,
,"f) Interest due and payable towards suppliers registered under MSMED Act, for payments already made.","5,55,266","5,31,501"
,g) Further interest remaining due and payable for earlier years.,"9,94,352","9,93,419"
9),"As at December 31, 2017 (') Other Current Liabilities","As atDecember 31, 2016(')",
,Advances from Customers,"2,45,86,896","10,64,81,860"
,Unpaid Dividend (See note below),"65,70,920","54,01,730"
,"Statutory dues [including Provident Fund, Tax deducted at Source and net off paid under protest Rs. 4,029,470 (Previous year Rs. Nil)]","4,37,56,585","4,50,19,734"
,Creditors for Capital GoodsNote:,-,"1,77,83,448"
,"There is no amount due and outstanding as at December 31, 2017 to be credited to Investor Education and Protection Fund.",,
,,"7,49,14,401","17,46,86,772"
10),Short-term ProvisionsEmployee Benefits (Refer Note 25B) - Provision for Gratuity,"17,44,224","5,32,062"
,- Provision for Leave Encashment,"28,39,672","21,40,246"
,Provision for Warranty (Refer Note 33),"2,40,03,773","2,51,34,167"
,Proposed Dividend,-,"6,47,28,496"
,Tax on Proposed Dividend,-,"1,31,78,722"
,,"2,85,87,669","10,57,13,693"
