0,1,2,3,4
"December 31, 2017",Level I,Level II,Level III,Total
Mutual fund units,189.19,-,-,189.19
Investments in equity shares,-,-,4.58,4.58
Derivative financial assets,-,722.34,-,722.34
,189.19,722.34,4.58,916.11
Derivative financial liabilities,-,7.89,-,7.89
,,,,
"December 31, 2016",Level I,Level II,Level III,Total
Mutual fund units,188.50,-,-,188.50
Investments in equity shares,-,-,4.58,4.58
Derivative financial assets,-,360.11,-,360.11
,188.50,360.11,4.58,553.19
Derivative financial liabilities,-,1.99,-,1.99
,,,,
"January 1, 2016",Level I,Level II,Level III,Total
Mutual fund units,409.33,-,-,409.33
Investments in equity shares,-,-,4.58,4.58
Derivative financial assets,-,60.00,-,60.00
,409.33,60.00,4.58,473.91
Derivative financial liabilities,-,39.15,-,39.15
