0,1,2
Particulars,"December 31, 2017","December 31, 2016"
"Depreciation on property, plant and equipment",614,580
Amortisation of intangible assets,408,608
Total,"1,022","1,188"
31 - Finance costs,,
Particulars,"December 31, 2017","December 31, 2016"
Interest on employee benefit related liabilities,11,8
Other Interest,-,15
Total,11,23
32(a) - Other expenses,,
Particulars,"December 31, 2017","December 31, 2016"
Advertisement and sales promotion,705,496
Auxiliary and other materials,171,143
Expenditure towards Corporate Social Responsibility activities (Refer note: 47),83,73
Excise duty,278,529
Insurance,88,78
Legal and professional fees,646,562
Auditors' remuneration [(Refer note 32(b)],7,10
Power & fuel,334,317
Rates & taxes,58,60
Rent,166,163
Repairs - building,38,30
Repairs - others,150,150
Repairs - plant & machinery,78,165
Selling and distribution expenses,"1,120","1,085"
Stores & spares,38,38
Toll manufacturing charges,390,368
Training & meetings,201,207
Travelling and conveyance,950,"1,019"
Provision for bad and doubtful debt (net),-,6
"Loss on sale of property, plant and equipment",13,-
Provision for contingencies,162,-
Others,320,325
Reimbursement of expenses #,(180),"(1,181)"
Total,"5,816","4,643"
