0,1,2,3,4
Particulars,"Figures as at 31st March, 2017","Figures as at 31st March, 2016",,
Note No. 1 : SHARE CAPITAL,,,,
(a)Authorised Share CapitalEquity Shares of Rs.1 each :(b)Issued and SubscribedEquity shares of Rs.1 each fully paid up,Nos.,Rs.,Nos.,Rs.
"437,000,000","437,000,000","437,000,000","437,000,000",
"437,000,000","437,000,000","437,000,000","437,000,000",
"426,428,750","426,428,750","426,428,750","426,428,750",
"426,428,750","426,428,750","426,428,750","426,428,750",
(c)Reconciliation of number of shares,,,,
Shares at the beginning of the year,"426,428,750","4,264,287,500","426,428,750","4,264,287,500"
Add : Shares issued during the year,-,-,-,-
Outstanding shares at the year end,"426,428,750","4,264,287,500","426,428,750","4,264,287,500"
Note No. 2 : RESERVES & SURPLUS,,,,
(a)Surplus - Profit & Loss account,,,,
Opening Balance,"(14,946,561)",,"(16,575,690)",
Add : Current Year Transfer,"511,465",,"826,447",
Amount Available for Appropriation,"(14,435,096)",,"(15,749,243)",
Less : Transfer to Statutory Reserve,,,,
Less: Excess/ Short Tax provision,,,,
Less : Deferred revenue,,,,
Less : Deferred tax,,,,
Less : Transfer to Reserve,,,"802,682",
Less : Provisions against Standard Assets,,,,
Surplus -Closing Balance,,"(14,435,096)",,"(14,946,561)"
Statutory Reserve U/S 45(1)C,,"259,392",,"259,392"
Capital Reserve,,,,
Balance as per previous Balance Sheet,,,,
Add : Addition during the year,,-,,-
(b)Securities Premium,,,,
Opening balance,"7,146,250",,"7,146,250",
Add : Share premium due to Merger,-,,-,
Less : Utilisation Closing Balance,-,"7,146,250",-,"7,146,250"
,,,,
"(7,029,454)","(7,540,919)",,,
,,,,
