0,1,2
,31 March 2018,31 March 2017
('in crores),('in crores),
Consumption of stores and spares,116.78,124.16
Consumption of packing materials,70.95,61.80
Increase / (decrease) of excise duty on inventory,(1.81),(1.08)
"Power, fuel and water",98.98,96.37
Repairs and maintenance,,
Building,4.11,3.69
Machinery,14.19,10.14
Corporate Social Responsibility (CSR) expenses (refer note 45),3.64,3.05
Sales commission,28.17,15.85
Sales promotion,21.09,13.31
Carriage outwards,46.70,38.34
Rent,23.04,26.58
Insurance,11.12,7.98
Legal and professional fees,55.11,43.05
Rates and taxes,8.69,9.02
Travelling and conveyance,52.06,44.35
"Loss on sale of plant and equipment, net",1.65,0.46
Bad debts / advances written off,10.54,0.32
Provision for doubtful debts and advances,13.53,4.32
Directors sitting fee and commission,0.75,0.61
Payment to auditor,0.66,1.33
Research and development expenses (refer note 42),,
"Salaries, wages and bonus",16.07,8.25
Raw materials consumed,1.16,1.37
General expenses,11.10,5.65
Total Research and development expenses,28.33,15.27
Less Amount transferred to individual expense line item,(28.33),(15.27)
Research and development expenses,-,-
Miscellaneous expenses,232.02,128.02
Total other expenses,811.97,631.67
