0,1,2,3,4,5,6
Name,Board Meeting,Audit Committee Meeting,Nomination and Remuneration Committee Meeting,Stakeholders’ Relationship Committee Meeting,Corporate Social Responsibility Committee Meeting,Risk Management Committee Meeting
Harish Manwani,5 of 5#,-,0 of 1,-,-,-
Sanjiv Mehta,5 of 5,-,-,2 of 2,3 of 3,2 of 2#
P. B. Balaji$,3 of 3,-,-,1 of 1,1 of 1,0 of 1
Srinivas Phatak$,2 of 2,-,-,1of 1,2 of 2,0 of 1
Pradeep Banerjee,5 of 5,-,-,-,-,0 of 2
Dev Bajpai,5 of 5,-,-,-,-,2 of 2
Aditya Narayan,5 of 5,6 of 6#,1 of 1,-,3 of 3,-
S. Ramadorai,5 of 5,6 of 6,1 of 1#,-,-,-
O. P. Bhatt,5 of 5,6 of 6,0 of 1,2 of 2#,3 of 3#,-
Sanjiv Misra,5 of 5,6 of 6,1 of 1,-,3 of 3,-
Kalpana Morparia*,5 of 5,4 of 4,-,-,3 of 3,-
Aasif Malbari,-,-,-,-,-,2 of 2
