0,1,2
,"As at31st March, 2018","As at31st March, 2017"
Non-Current,,
"Provision for employee benefits (pension, medical, compensated absences[Refer Note42] and others)",101 E,106
Other provisions (including for statutory levies etc.) - net [Refer (a) below],699,408
TOTAL (A),800,514
Current,,
"Provision for employee benefits (gratuity, pension, medical, compensated absences[Refer Note 42] and others)",93,41
Other provisions (including restructuring etc.) [Refer (a) below],595,351
TOTAL (B),688,392
TOTAL (A+B),"1,488",906
