0,1,2,3,4,5,6,7,8
Particulars,Buildings,Furniture and fixtures,Office equipments,Plant and machinery,Electrical installations and equipments,Vehicles,Computers,Total
"Gross carrying value as at Apri 1,201 7","17,400.65","2,407.03",58.69,"3,847.85","1,514.01",805.49,215.12,"26,248.84"
Additions,-,7.75,11.60,2.38,-,68.61,22.23,1 12.57
(Deductions) / (DisposaIs),-,(1.63),(0.29),(4.59),-,-,-,(6.51)
"Gross carrying value as at March 31, 2018","17,400.65","2,413.15",70.00,"3,845.64","1,514.01",874.10,237.35,"26,354.90"
"Accumu ated depreciation as at Apri 1,201 7",633.76,"1,269.51",37.84,"1,801.79",585.35,185.06,100.47,"4,613.78"
Depreciation for the year,316.10,633.78,10.34,701.45,292.73,1 18.73,45.94,"2,1 19.07"
(Deductions) / (DisposaIs),-,(0.96),(0.29),(1-11),-,-,-,(2.36)
"Closing accumulated depreciation as at March 31, 2018",949.86,"1,902.33",47.89,"2,502.13",878.08,303.79,146.41,"6,730.49"
"Net carrying value as at March 31, 2018","16,450.79",510.82,22.11,"1,343.51",635.93,570.31,90.94,"19,624.41"
