0,1,2,3,4
Particulars,Gratuity,Pension Plan,,
"December 31, 2017","December 31,2016","December 31, 2017","December 31, 2016",
Fair Value of Plan Assets at the beginning of the year,406,397,-,-
Expected Return on Plan Assets,28,32,-,-
Interest Shortfall paid by the Company,-,-,-,-
Employer's Contributions,12,10,-,-
Employees Contribution,-,-,-,-
Benefits Paid,(22),(33),-,-
Transfer from Other Approved Funds,-,-,-,-
Provision for diminution in fair value of Plan assets,-,-,-,-
"Return on plan Asset, Excluding Interest",5,(*),-,-
Fair Value of Plan Assets at the end of the year,429,406,-,-
