0,1,2,3,4
NOTE 24. OTHER LIABILITIES,LONG TERM (NON-CURRENT)   SHORT TERM (CURRENT),,,
"March31,2018","March       March31,2017     31,2018","March31, 2017",,
Billing in excess of revenue recognised,-,"12,740.94","18,264.21",
Rent received in advance,355.71,319.54,647.28,242.38
Advances from customers,-,-,540.05,647.60
Other payables,,,,
Other deposits,-,-,0.01,0.01
Provision for expenses,-,"-       3,376.19","4,584.02",
Statutory dues,-,"-       2,655.12",565.31,
Others,-,-,57.19,91.83
,355.71,"319.54    20,016.78","24,395.36",
,,,,('in Lakh)
NOTE 25. CURRENT TAX LIABILITIES (NET),"March 31,2018","March 31, 2017",,
Income tax (net of provisions),,235.42,,494.07
,,235.42,,494.07
('in Lakh),,,,
NOTE 26. REVENUE FROM OPERATIONS,"March 31,2018","March 31, 2017",,
Revenue from operations,,,,
Revenue from projects,,"72,071.12",,"66,437.27"
Revenue from hospitality,,"12,781.53",,"12,574.28"
Rental and other related revenues,,"11,967.03",,"9,476.57"
Other operating revenue,,602.65,,583.08
,,"97,422.33",,"89,071.20"
('in Lakh),,,,
NOTE 27. OTHER INCOME,"March 31,2018","March 31, 2017",,
Interest income on,,,,
Bank fixed deposits,,279.44,,"1,715.91"
Financial assets measured at amortised cost,,"3,546.09",,"3,771.66"
Others,,17.14,,18.91
Dividend income on,,,,
Investments in subsidiaries,,"6,790.65",,-
Other investments,,34.21,,33.39
Profit on sale of investments (net),,0.61,,290.77
Other non-operating income,,243.71,,17.51
,,"10,911.85",,"5,848.15"
