0,1,2
,"As at31st March, 2018","As at31st March, 2017"
Dues to Micro and Small Enterprises (as per the Intimation Received from Vendors),,
a. Principal and interest amount remaining unpaid,,0
b. Interest due thereon remaining unpaid,-H,-
"c. Interest paid by the Company in terms of Section 16 of the Micro, Small and",-,-
"Medium Enterprises Development Act, 2006, along with the amount of the payment",,
made to the supplier beyond the appointed day,,
d. Interest due and payable for the period of delay in making payment (which have,,-
been paid but beyond the appointed day during the period) but without adding,,
"interest specified under the Micro, Small and Medium Enterprises Act, 2006",,
e. Interest accrued and remaining unpaid,-■I,-
"f.    Interest remaining due and payable even in the succeeding years, until such date",-,-
when the interest dues as above are actually paid to the small enterprises,,
Dues to Others,,
Acceptances,141,243
Trade payables,"7,029","5,943"
,"7,170||","6,186"
