0,1,2,3,4
,"As atDecember 31, 2017","As atDecember 31, 2016",,"As atJanuary 1, 2016"
,,,,
Deferred tax assets,,,,
Provision for compensated absences and gratuity,141.81,134.39,,114.20
Provision for doubtful debts and advances,75.62,72.92,,65.28
Others (including allowances on payment basis),89.12,61.93,,59.78
Deferred tax liabilities,306.55,269.24,,239.26
Accelerated Depreciation for tax purposes,125.42,112.20,,111.51
Fair Value gains on derivative instruments,5.35,4.36,,-
,130.77,116.56,,111.51
Deferred tax assets (net),175.78,152.68,,127.75
