0,1,2,3
,31 December 2017INR in Lacs,31 December 2016INR in Lacs,1 January 2016INR in Lacs
Deposits with original maturity of more than3 months but less than 12 months,32.90,2.50,4.00
,32.90,2.50,4.00
"Note 17: Short Term Loans (Unsecured, considered good unless otherwise stated)",,,
,31 December 2017,31 December 2016,1 January 2016
,INR in Lacs,INR in Lacs,INR in Lacs
At amortised cost,,,
Security Deposit,26.35,87.77,67.77
Loans & Advances to Related Parties,-,-,23.51
Loans and Advances to employees,72.98,172.82,139.55
,99.33,260.59,230.83
