0,1,2,3,4,5,6
,Nos.,Face value(?),Non-Current,Current,,
As at31.03.2018,As at31.03.2017,As at31.03.2018,As at31.03.2017,,,
I. Non-Current Investments,,,,,,
A. Investments in Equity Instruments,,,,,,
(a) Quoted equity shares measured at FVTOCI,,,,,,
Akzo Nobel India Limited,"20,10,626",10,359.81,384.45,-,-
Housing Development Finance Corporation Limited,"4,65,000",2,84.89,69.85,-,-
Apcotex Industries Limited,"13,672",5,0.67,0.44,-,-
Total Quoted equity shares,445.37,454.74,-,-,,
(b) Unquoted equity shares,,,,,,
"(i) Subsidiaries(measured at cost, Refer Note 1.3 I)",,,,,,
(a) Asian Paints Industrial Coatings Limited,"3,04,50,000",10,30.45,30.45,-,-
(b) Asian Paints International Private Limited (ReFerNote 31)**(Formerly Known as Berger International Private Limited),"322,833,370",,406.60,406.60,,
"(c) Asian Paints (Nepal) Private Limited, Nepal.","32,54,310",NPR10,0.12,0.12,-,-
(d) Maxbhumi Developers Limited,"4,19,000",10,15.55,15.55,-,-
"(e) Sleek International Private Limited# (59,868 shares acquired during the year For cash)","122,180(62,312)",10,169.61,119.48,■,■
Less: Impairment loss,(65.30),(65.30),-,-,,
,104.31,54.18,-,-,,
(F) Asian Paints PPG Private Limited,"52,43,961",10,30.47,30.47,-,-
"(g) Reno Chemicals PharmaceuticalsAnd Cosmetics Private Limited##(4,950 shares acquired during the year For cash)","4,950(-)",100,161.42,,,
,748.92,537.37,-,-,,
"(ii) Associate(measured at cost, Refer Note 1.3 l)",,,,,,
PPG Asian Paints Private Limited,"2,85,18,112",10,81.43,81.43,-,-
,81.43,81.43,-,-,,
(iii) Other equity shares measured at FVTPL,1.07,1.07,-,-,,
Total Unquoted equity shares,831.42,619.87,,-,,
Total Investments in Equity Instruments,,A,"1,276.79","1,074.61",,-
