0,1,2
,"Year endedDecember 31, 2017","Year endedDecember 31, 2016"
"Interest on bank deposits, delayed payments from dealers/",117.40,167.82
"customers, etc.",,
Sundry credit balances and provisions no longer required,119.90,37.56
written back,,
"Profit on disposal of property, plant and equipment",-,1.64
Net gains/ losses on foreign currency transactions and,37.26,1.01
translations,,
Fair value gains on derivatives not designated as hedges,-,16.25
Other income,23.57,19.45
Total,298.13,243.73
Cost of materials consumed,,
,Year ended,Year ended
,"December 31, 2017","December 31, 2016"
Opening stock,590.59,408.80
Add: Purchases,"4,377.83","3,776.99"
Less: Closing stock,666.07,590.59
Total,"4,302.35","3,595.20"
