0,1,2,3,4,5,6,7,8,9,10
,Freehold land,Leasehold land,Buildings,Plant & equipment,Furniture& fixtures,Vehicles,Office equipment,Development of property,Total,Capital work inÂ progress
Opening gross carrying amount as,3.01,265.15,860.48,"3,472.36",96.21,50.65,114.38,0.04,"4,862.28",164.95
"on January 1, 2017",,,,,,,,,,
Additions,,,603.81,547.02,10.83,24.05,20.34,-,"1,206.05",(124.03)
Disposals,,,(8.78),(61.05),(1.98),(4.53),(6.09),-,(82.43),-
Gross carrying amount as on,3.01,265.15,"1,455.51","3,958.33",105.06,70.17,128.63,0.04,"5,985.90",40.92
"December 31, 2017",,,,,,,,,,
Accumulated depreciation,-,5.77,395.75,"2,097.58",88.29,41.76,70.01,0.04,"2,699.20",-
Charge for the year,,2.81,50.13,227.39,4.06,8.16,8.27,-,300.82,-
Disposals,,,(7.10),(58.12),(1.97),(4.42),(6.01),-,(77.62),-
Closing accumulated depreciation,-,8.58,438.78,"2,266.85",90.38,45.50,72.27,0.04,"2,922.40",-
"as at December 31, 2017",,,,,,,,,,
Net carrying amount as on,3.01,256.57,"1,016.73","1,691.48",14.68,24.67,56.36,-,"3,063.50",40.92
