0,1,2,3,4,5,6,7,8,9
d) Banks / FI,0,0,0,0,0,0,0,0,0
e) Any Other....,,,,,,,,,
Sub-total (A)(2):-,0,0,0,0,0,0,0,0,0
Totalshareholding ofPromoter (A) = (A)(1)+(A)(2),6322264,0,6322264,33.44,6322264,0,6322264,33.44,0
B. PublicShareholding,,,,,,,,,
1.Institutions,,,,,,,,,
a) Mutual Funds,0,0,0,0,0,0,0,0,0
b) Banks / FI,0,0,0,0,0,0,0,0,0
c) Central Govt,0,258300,258300,1.37,0,258300,258300,1.37,0
d) State Govt(s),0,0,0,0,0,0,0,0,0
e) Venture Capital Funds,0,0,0,0,0,0,0,0,0
f) Insurance Companies,0,0,0,0,0,0,0,0,0
g) FIIs,0,0,0,0,0,0,0,0,0
h) Foreign Venture CapitalÂ Fund,0,0,0,0,0,0,0,0,0
i) Others (specify),0,0,0,0,0,0,0,0,0
2. Non Institutions,,,,,,,,,
a) Bodies Corp.,839016,0,839016,4.44,1020645,0,1020645,5.40,+0.96
i) Indian,0,0,0,0,0,0,0,0,0
ii) Overseas,0,0,0,0,0,0,0,0,0
b) Individuals,,,,,,,,,
