0,1,2
Particulars,Number of shares,Amount
"As at January 01, 2016","23,500,000",235
Increase during the year,-,-
"As at December 31, 2016","23,500,000",235
Increase during the year,-,-
"As at December 31, 2017","23,500,000",235
(ii) Movements in equity share capital,,
Particulars,Number of shares,Amount
"As at January 01, 2016","23,030,622",230
Issued during the year,-,-
Other movements,-,-
"As at December 31, 2016","23,030,622",230
Issued during the year,-,-
Other movements,-,-
"As at December 31, 2017","23,030,622",230
