0,1,2,3,4
Particular,Figure as at,Figure as at,,
,"31st March, 2016","31st March, 2015",,
Note No. 3 : LONG TERM BORROWINGS,,,,
Unsecured Loans :-,,,,
(a) Other Loans,,"1,005,574",,-
,,"1,005,574",,-
Note No. 4 : LONG TERM PROVISION,,,,
I Secured,,,,
Provisions against Standard Assets,,,,"776,814"
,,,,"776,814"
Note No. 5 : OTHER CURRENT LIABILITES,,,,
TDS,,"56,100",,"34,963"
Creditors for expenses,,"242,307",,"103,049"
Audit Fees Payable,,"130,292",,"30,000"
Other Payable,,-,,"279,753"
Total,,"428,699",,"447,765"
Note No. 6 : SHORT TERM PROVISIONS,,,,
Provision for Tax,,,,"1,208,200"
Provision against Standard Asset,,"370,856",,
Provision for NPA,,"1,539,125",,"1,539,125"
Provision for Income Tax AY. 13-14,,"336,500",,
Provision for Income Tax AY. 14-15,,"401,700",,
Income Tax Provisions,,,,
Current Year,-,,-,
Earlier Year,-,,-,
Total,,"2,648,181",,"2,747,325"
