0,1,2,3,4
Particulars,Currency,"December31, 2017","December31, 2016","January1, 2016"
Derivative Instruments Outstanding,,,,
Forward Exchange contracts for the foreign exchange exposures of receivables on accountÂ of export,USD,20.00,10.00,12.00
Foreign Exchange ExposuresForeign Exchange exposures not covered by a,USD,196.96,222.49,197.21
derivative contract for payments to be received,EUR,14.09,4.15,5.18
on account of export of goods.,GBP,5.35,4.29,5.07
,AED,23.54,27.20,8.66
,AUD,2.82,3.88,5.30
,CAD,3.51,7.14,0.13
Foreign Exchange exposures not covered by,USD,130.57,152.46,200.40
a derivative contract for payments to be made,EUR,1.77,1.70,2.69
against revenue imports and capital imports creditors.,JPY,-,11.20,24.61
,GBP,0.11,0.18,0.23
Cash and Bank balance in foreign currency,USD,0.24,0.28,1.30
,EUR,0.00,0.00,0.02
,GHS,0.01,0.02,0.01
,Chinese,0.00,0.00,-
,Yuan,,,
,JPY,0.01,0.01,-
,GBP,0.31,-,0.44
,AUD,-,-,0.01
Derivatives taken to Cover ForecastExposuresForward Exchange contracts taken for the,USD,35.00,26.00,18.00
forecast exports receivables on account of export of goods & services.,EUR,-,2.77,-
Forward Exchange contracts taken for the forecast Capital imports.,EUR,14.71,-,-
