0,1,2,3,4,5
,Total transferred receivables Corresponding borrowings receivables discounted,against,"As atDecember 31, 20179.759.75","As atDecember 31, 201618.0318.03","As atJanuary 1, 201624.1324.13"
7 (a),Cash and cash equivalents,,,,
,,,As at,As at,As at
,,,"December 31, 2017","December 31, 2016","January 1, 2016"
,Cash on hand,,0.66,0.58,0.71
,Balances with banks,,,,
,In current accounts,,72.21,51.69,231.87
,In EEFC accounts,,105.34,207.71,286.01
,,Total,178.21,259.98,518.59
7 (b),Bank balances other than 7 (a) above,,,,
,,,As at,As at,As at
,,,"December 31, 2017","December 31, 2016","January 1, 2016"
,Balances with banks,,,,
,-     in deposits with,original,309.98,"1,267.18","1,287.41"
