0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Freehold Land,Leasehold Land *,Buildings,Plant and Equipment,Office Equipment,Furniture and Fixtures,Salt works reservoir,Vehicles,Leased Mines #,Wind Turbine Generator,Total,Capital work in progress,Amount
"As at April 1,2016",382.74,352.40,170.61,"1,071.77",4.71,5.32,1.68,2.70,9.47,126.49,"2,127.89",36.89,"2,164.78"
Additions,0.03,0.35,34.10,387.19,3.08,1.83,0.16,0.88,-,13.07,440.69,426.17,866.86
Disposals,(0.73),-,-,(29.55),(0.27),(0.04),-,(0.79),-,-,(31.38),(437.06),(468.44)
Reclassification,,,,,,,,,,,,(0.51),(0.51)
"As at March 31, 2017",382.04,352.75,204.71,"1,429.41",7.52,7.11,1.84,2.79,9.47,139.56,"2,537.20",25.49,"2,562.69"
Additions,-,-,21.68,176.61,2.89,2.26,0.54,0.90,-,-,204.88,257.69,462.57
Disposals,-,-,(1.44),(20.58),(1.40),(0.67),-,(0.41),-,-,(24.50),(210.18),(234.68)
"As at March 31, 2018",382.04,352.75,224.95,"1,585.44",9.01,8.70,2.38,3.28,9.47,139.56,"2,717.58",73.00,"2,790.58"
Depreciation,Land,Leasehold Land,Buildings,Plant and Equipment,Office Equipment,Furniture and Fixtures,Salt works reservoir,Vehicles,Leased Mines,Wind Turbine Generator,Total,Capital work in progress,Amount
"As at April 1,2016",-,4.86,7.20,56.02,0.95,0.76,0.70,0.28,4.52,3.86,79.15,-,79.15
Depreciation charge for the year,-,4.85,7.50,60.65,1.45,0.57,0.59,0.54,2.77,6.50,85.42,-,85.42
Disposals,-,-,-,(26.36),(0.26),(0.04),-,(0.70),-,-,(27.36),-,(27.36)
"As at March 31, 2017",-,9.71,14.70,90.31,2.14,1.29,1.29,0.12,7.29,10.36,137.21,-,137.21
Depreciation charge for the year,-,4.87,9.75,80.51,2.59,1.44,0.43,0.57,1.36,7.21,108.73,-,108.73
Disposals,-,-,(1.44),(12.50),(1.40),(0.67),-,(0.33),-,-,(16.34),-,(16.34)
"As at March 31, 2018",-,14.58,23.01,158.32,3.33,2.06,1.72,0.36,8.65,17.57,229.60,-,229.60
Net book value,,,,,,,,,,,,,
"As at March 31, 2018",382.04,338.17,201.94,"1,427.12",5.68,6.64,0.66,2.92,0.82,121.99,"2,487.98",73.00,"2,560.98"
"As at March 31, 2017",382.04,343.04,190.02,"1,339.10",5.38,5.82,0.55,2.67,2.18,129.20,"2,399.99",25.49,"2,425.48"
