0,1,2,3,4,5,6
Particulars,As at 31.03.2018,As at 31.03.2017,As at 01.04.2016,,,
Number,Amount ('),Number,Amount ('),Number,Amount ('),
a) Authorised :,,,,,,
Equity Shares of '.10/- each,"20,000,000","200,000,000","20,000,000","200,000,000","20,000,000","200,000,000"
b) (i) Issued :,,,,,,
Equity Shares of '.10/- each,"4,396,450","43,964,500","4,396,450","43,964,500","4,396,450","43,964,500"
(ii) Subscribed and Fully Paid up:,,,,,,
"43,94,350/- Equity Shares of '.10/- each fully paid up","4,394,350","43,943,500","4,394,350","43,943,500","4,394,350","43,943,500"
Add: Amount received on 2100 forfeited shares,,"6,375",,"6,375",,"6,375"
Total,"4,394,350","43,949,875","4,394,350","43,949,875","4,394,350","43,949,875"
