0,1,2,3,4,5,6,7,8,9,10,11
SR. NO.,DESCRIPTIONOF ASSETS,GROSS BLOCK,DEPRECIATION,NET BLOCK,,,,,,,
COSTAS ON01.04.2016,ADDITIONDURINGTHE YEAR,ADJ.DURINGTHE YEAR,TOTAL COST AS AT 31.03.2017,DEPRECIATION AS AT 01.04.2016,ADDITION DURING THE YEAR,DEP ADJ.,TOTAL DEPRE. AS AT 31.03.2017,AS AT31.03.2017,AS AT31.03.2016,,
1,Tangible Assets:LAND,,,,,,,,,,
2,- Lease Hold- Free Hold BUILDING,-,-,-,-,-,-,-,-,-,-
3,PLANT AND EQUIPMENT,-,-,-,-,-,-,-,-,-,-
4,FURNITURE AND FIXTURES,-,-,-,-,-,-,-,-,-,-
5,VEHICLES,-,-,-,-,-,-,-,-,-,-
6,OFICE EQUIPMENT,-,-,-,-,-,-,-,-,-,-
7,OTHERS (SPECIFY NATURE),-,-,-,-,-,-,-,-,-,-
6,Intangible Assets:Goodwill,-,,,,,,,,,-
7,Softwares,-,,,,,,,,,-
,TOTAL RS.,-,,,,,,,,,-
,CWIPPREVIOUS YEAR RS.,-,,,,,,,,,-
