0,1,2,3,4,5,6,7,8,9,10,11,12
Freehold Land2,143.71,(0.04)             -             -,143.67,-             -             -             -              -        143.67,,,,,,,,
,Leasehold Land,31.21,,,,31.21,2.34,,0.58,,2.94,28.27
,Leasehold Improvement,1.19,(0.04),,,1.16,0.74,(0.02),0.02,,0.74,0.41
,Buildings,144.29,(0.56),67.59,,211.33,61.10,(0.08),8.07,,69.10,142.23
,Plant & Equipments,269.88,(0.44),117.91,15.18,372.17,112.48,(0.27),39.40,11.61,140.01,232.16
,Furniture & Fixtures,51.40,(0.08),8.49,3.66,56.16,31.04,(0.06),6.40,3.48,33.89,22.26
,Vehicles,14.61,(0.51),0.68,4.55,10.24,9.81,(0.34),1.16,3.30,7.33,2.90
,Office Equipments,19.15,(0.15),4.42,3.04,20.38,14.09,(0.13),3.08,2.89,14.16,6.22
,Computers,18.23,(0.00),4.33,0.17,22.39,15.08,(0.00),2.47,0.17,17.38,5.01
,Total (A),693.67,(1.81),203.44,26.60,868.70,246.69,(0.90),61.19,21.45,285.54,583.16
(B),Other Intangible Assets,,,,,,,,,,,
,Computer Software,6.13,(0.02),4.19,,10.30,2.36,(0.02),1.95,,4.29,6.01
,ANDA Development Cost,15.93,,,,15.93,15.93,,,,15.93,
,Total (B),22.06,(0.03),4.19,-,26.23,18.30,(0.03),1.95,-,20.22,6.01
,Total (A + B),715.73,(1.83),* 207.63,26.60,894.92,264.99,(0.91),# 63.14,21.45,305.76,589.17
(C),Capital Work in Progress,,,(Including Pre Operative expenses of'85.04 cr. -,Refer note 59),,,338.03,,,,
(D),Intangible assets under,,,,,,,,,,,1.23
