0,1,2,3
"Notes forming part of the Financial Statements (Contd.)All amounts are in Indian Rupees Millions, except share data and where otherwise stated",,,
,"As atDecember 31,2017","As atDecember 31,2016","As atJanuary 1, 2016"
"Note 4: Non-Current investmentsInvestment (unquoted, at cost) A. Equity shares(i) of subsidiaries",,,
"Rain Cements Limited29,805,000 (December 31, 2016: 29,805,000, January 1, 2016 : 29,805,000) Equity Shares of INR 10 each fully paid upRain Commodities (USA) Inc","2,128.10","2,128.10","2,128.10"
"20 (December 31, 2016 : 20, January 1, 2016 : 20) Common Stock at par value of US$ 0.01 per share fully paid up",4.45,4.45,4.45
"200,000 (December 31, 2016 :200,000, January 1, 2016 : 20,000,000) Class B Redeemable Common Stock at par value of US$ 100 (December 31, 2016: US$ 100, January 1, 2016: US$1) per share fully paid up",902.80,902.80,902.80
"Rain CII Carbon (Vizag) Limited (refer note c below)1,000,000 (December 31, 2016: 1,000,000, January 1, 2016 : 1,000,000) Equity Shares of INR 10 each fully paid upB. Preference shares(i) of subsidiaries",13.00,13.00,13.00
"Rain Commodities (USA) Inc.97,800 (December 31, 2016 : 97,800, January 1, 2016 : 97,800) Convertible Redeemable Preferred Series - B at par value US$ 1,000 per share fully paid up","6,121.30","6,121.30","6,121.30"
Total,"9,169.65","9,169.65","9,169.65"
(a) Aggregate amount of unquoted investments,"9,169.65","9,169.65","9,169.65"
(b) Aggregate book value and market value of quoted investments,-,-,-
(c) Investments are pledged with banks against borrowings availed from banks. Refer note 13 for the same.,,,
