0,1,2,3,4
Particulars,Standalone as at 31st March,Consolidated as at 31st March,,
2018,2017,2018,2017,
,(Audited),(Audited),(Audited),(Audited)
"ASSETSNon - current Assets(a) Property, Plant and Equipment","64,261","61,552","70,019","66,554"
(b) Capital Work-in-progress,812,"3,206",812,"3,206"
(c) Goodwill,-,-,63,63
(d) Other Intangible Assets,67,109,75,122
(e) Financial Assets(i) Investments,"20,826","9,849","17,498","6,558"
(ii) Loans,787,832,787,832
(iii) Other Financial Assets,8,6,8,6
(f) Deferred Tax Assets (Net),-,-,"4,943",293
(g) Other Non - current Assets,"1,239","1,404","1,411","1,836"
Total Non-current Assets,"88,000","76,958","95,616","79,470"
Current Assets(a) Inventories,"66,994","51,263","78,644","60,209"
(b) Financial Assets(i) Investments,"1,03,284","56,543","1,03,284","56,543"
(ii) Trade Receivables,"75,882","40,681","82,352","44,146"
(iii) Cash and Cash Equivalents,"1,608",88,"4,054","1,136"
(iv) Bank Balances other than (iii) above,"1,504","4,018","1,504","4,018"
(v) Loans,356,329,356,329
(vi) Other Financial Assets,"1,385",378,"1,323",386
(c) Current Tax Assets (Net),"2,478","1,978","2,492","1,993"
(d) Other Current Assets,"8,105","8,038","8,404","8,098"
Total Current Assets,"2,61,596","1,63,316","2,82,413","1,76,858"
Total Assets,"3,49,596","2,40,274","3,78,029","2,56,328"
EQUITY AND LIABILITIESEQUITY(a) Equity Share Capital,"3,908","3,908","3,908","3,908"
(b) Other Equity,"2,56,271","1,81,278","2,69,274","1,81,848"
Total Equity,"2,60,179","1,85,186","2,73,182","1,85,756"
LIABILITIESNon - current Liabilities(a) Financial Liabilities(i) Trade Payables,3,178,3,178
(ii) Other Financial Liabilities,1,2,1,2
(b) Provisions,-,-,307,280
(c) Deferred Tax Liabilities (Net),"9,450","8,403","9,450","8,501"
Total Non - current Liabilities,"9,454","8,583","9,761","8,961"
Current Liabilities(a) Financial Liabilities(i) Borrowings,"15,529","12,682","27,218","25,923"
(ii) Trade Payables,"39,482","21,084","41,190","21,662"
(iii) Other Financial Liabilities,"5,161","3,515","5,685","4,526"
(b) Provisions,"3,090","3,419","3,096","3,424"
(c) Current Tax Liabilities (Net),"5,247","2,056","6,061","2,056"
(d) Other Current Liabilities,"11,454","3,749","11,836","4,020"
Total Current Liabilities,"79,963","46,505","95,086","61,611"
Total Equity and Liabilities,"3,49,596","2,40,274","3,78,029","2,56,328"
