0,1,2,3,4,5
(? in crores),,,,,
Standalone Audited Balance Sheet,,,,,
Particulars,,Audited,Audited,,
As at 31.03.2018,As at 31.03.2017,,,,
"ASSETSNon-Current assetsProperty, Plant and Equipment",,,,"2,477.44","2,512.01"
Capital work in progress,,,,"1,391.84",219.76
Goodwill,,,,35.36,35.36
Other Intangible Assets,,,,55.73,57.31
Financial Assets,,,,,-
Investments,,,,"1,547.33","1,598.20"
Loans,,,,79.08,70.27
Other Financial Assets,,,,144.75,198.05
Current tax assets (net),,,,49.50,36.48
Other Non-Current Assets,,,,305.81,200.39
,,,"6,086.84","4,927.83",
Current assetsInventoriesFinancial Assets,,,,"2,178.43","2,194.09"
Investments,,,,"1,030.01","1,315.40"
Trade Receivables,,,,"1,138.20",994.63
Cash and Cash Equivalents,,,,106.70,62.01
Other Balances with Banks,,,,14.14,143.93
Loans,,,,12.17,13.55
Other Financial Assets,,,,627.23,474.07
Assets Classified as Held For Sale,,,,0.92,0.57
Other Current Assets,,,,393.29,231.95
,,,"5,501.09","5,430.20",
,,,,,
TOTAL ASSETS,"11,587.93","10,358.03",,,
EQUITY AND LIABILITIESEquityEquity Share Capital,,,,95.92,95.92
Other Equity,,,,"7,702.24","6,998.83"
,,,"7,798.16","7,094.75",
LIABILITIESNon-Current LiabilitiesFinancial Liabilities,,,,,
Borrowings,,,,9.87,10.38
Other Financial Liabilities,,,,0.65,2.31
Provisions,,,,107.35,109.84
Deferred Tax Laibilities (net),,,,270.33,261.17
Other Non-Current Liabilities,,,,2.61,3.65
,,,390.81,387.35,
Current LiabilitiesFinancial Liabilties,,,,,
Borrowings,,,,-,26.84
Trade Payables,,,,"1,851.50","1,671.26"
Other Financial Liabilities,,,,"1,208.56",879.99
Other Current liabilities,,,,244.99,206.32
Provisions,,,,42.85,36.20
Current Tax Liabilities (net),,,,51.06,55.32
,,"3,398.96","2,875.93",,
,mf x,A\,,,
TOTAL EQUITY AND LIABILITIES,|(S[ MUMfJAl,,"11,587.93","10,358.03",
-â€” ^ZM a,,,,,
