0,1,2
,As At,
,31-03-2018,31-03-2017
"A AssetsNon-current AssetsProperty, plant and equipment","34,071","36,581"
Capital work-in-progress,"2,452",621
Goodwill,49,49
Other intangible assets,100,183
Financial assetsi. Investments,"17,080",14.549
ii. Trade Receivables,-,-
iii. Loans,"1,186","1,076"
iv Other financial assets,11,11
Deferred tax assets (Net),463,485
Other non-current assets,"1,327",423
,"56,739","53,978"
Current AssetsInventories,"27,189",24.558
Financial assetsi. Trade receivables,"17,709","12,739"
ii. Cash and cash equivalents,"27,057",24.068
iii Bank balances other than (ii) above,165,183
iv. Loans,95,104
v. Other financial assets,"1,089",1 858
Other current assets,"4,335","3,987"
,"77,639","67,497"
Total Assets,"134,378","121,475"
B Equity and liabilitiesEquityEquity Share Capital,"5,536",5.536
Other Equity,"93,516","83,766"
Equity attributable to owners of the Company,"99,052","89,302"
Non-Controlling Interest,"1,238","1,124"
,"100,290","90,426"
LiabiltiesNon-current LiabilitiesFinancial liabilitiesBorrowings,,192
Provisions,"2,035","1,728"
Deferred tax liabilities (Net),"2,595",2.782
Other non-current liabilities,156,198
,"4,786","4,900"
Current LiabilitiesFinancial liabilitiesi. Borrowings,4,584
ii Trade payables,"19,480",16.559
iii. Other financial liabilities,"2,441",3.153
Provisions,"2,073","1,033"
Current tax liabilities (Net),"1,198",450
Other Current Liabilities,"4,106","4,370"
,"29,302","26,149"
Total Equity and Liabilities,"134,378","121,475"
