0,1,2,3
,Gujarat Gas Limited,,
,(Formerly known as GSPC Distribution Networks Limited),,
,"3rd Floor, Block No. 15 Udyog Bhavan, Sector-11, Gandhinagar - 382011, District: Gandhinagar, Gujarat",,
,web site:www.gujaratgas.comCIN : L40200GJ2012SGC069118,,
,"AUDITED CONSOLIDATED STATEMENT OF ASSETS AND LIABILITIES AS AT 31ST MARCH, 2018",,
,,,(Rs. in Crores)
Particulars,As at 31-03-2018,As at 31-03-2017,
1.,ASSETS,,
1,"Non-current assets(a) Property, plant and equipment",4.793.14,"4,631.69"
,(b) Capital work in progress,478.33,504.90
,(c) Investment property,1.30,1.30
,(d) Intangible assets,299.57,269 99
,(e) Intangible assets under development,-,0.82
,(f)    Investment in equity accounted investee(g)    Financial assets,24 68,23.39
,(i) Investments,1606,68 25
,(ii) Loans,69 50,65.36
,(iii) Other financial assets,0.02,0.03
,(h) Other non-current assets,273.02,282 57
,Total Non-Current Assets,"5,955.62","5,848.30"
2,Current assets(a)    Inventories(b)    Financial Assets,5678,41.65
,(i) Trade receivables,391.71,347.51
,(ii) Cash and cash equivalents,96 94,21.16
,(iii) Bank balances other than (ii) above,43.18,43.34
,(iv) Loans,1.50,1.43
,(v) Others Financial Assets,47.03,46.53
,(c) Other current assets,69.02,25.48
,Total Current Assets,706.16,527.10
,TOTAL ASSETS (1+2),"6,661.78","6,375.40"
II.,EQUITY AND LIABILITIES,,
1,Equity(a) Equity share capital,137.68,137.68
,(b) Other Equity,"1,728.70","1,526.04"
,Total equity,"1,866.38","1,663.72"
2,LiabilitiesNon-Current Liabilities(a) Financial Liabilities,,
,(i) Borrowings,2.212.99,"2,291.41"
,(b) Provisions,33.40,30.80
,(c) Deferred tax liabilities (Net),"1,050 56",989.65
,Total Non-Current Liabilities,"3,296.95","3,311.86"
,Current liabilities(a) Financial Liabilities,,
,(i) Borrowings,1.28,7.28
,(ii) Trade payables,296.53,317.41
,(iii) Other Financial Liabilities,"1,154.85",989.63
,(b) Other current liabilities,38.23,59.50
,(c) Provisions,4.90,9.14
,(d) Current Tax Liabilities (Net),2.66,16.86
,Total Current Liabilities,"1,498.45","1,399.82"
,Total liabilities,"4,795.40","4,711.68"
,,,
,TOTAL EQUITY AND LIABILITIES (1+2),6.661.78,6.375.40
Place: Gandhinagar,For and on behalf of Board of Directors,,
Date: 11th May 2018,Gujarat^,as Limited,
,,Dr. J. N.,SfÂ£g*trTAS
,,CJM1,fmVIAN
