0,1,2,3
,,As at,As at
Particulars,March 31 2018,March 31 2017,
,,(Audited),(Audited)
(a),"ASSETSNon-current assetsProperty, plant and equipment",907498,929269
(b),Capital work-in-progress,43953,62932
(c),Investment property,21220,21467
(d),Goodwill,-,-
(e),Other intangible assets,150936,142115
(0,Intangible assets under development,8078,12160
(g),Financial assets(i) Investments(a) Investments in associates,89785,89224
,(b) Other investments,16566,74242
,(ii) Loans,-,36595
,(iii) Other financial assets,13600,31229
(h),Deferred tax assets (net),9323,6904
(0,Advance tax (net),166337,150642
0),Other assets,33764,34871
,Total Non-current assets,1461060,1591650
(a),Current assetsInventories,2699,1920
(b),Financial assets(i) Other investments,18668,79930
,(ii) Trade receivables,289116,259004
,(iii) Cash and cash equivalents,125638,100276
,(iv) Other bank balances,3920,7653
,(v) Other financial assets,20544,13291
(c),Other assets,37981,56173
,Assets classified as held for sale,498566650,518247332
,Total Current assets,499216,518579
,TOTAL ASSETS,1960276,2110229
