0,1,2,3
Sr.No.,Particulars,As at31/03/2018,As at31/03/2017
,Audited,Audited,
(A)(1),"ASSETSNon-current assets(a)Property, plant and equipment(b)    Capital work-in-progress(c)    Investment property(d)    Other intangible assets(e)    Intangible assets under development(f)    Investment in subsidiaries and associates(g)    Financial assets(i)    Investments(ii)    Loans[in] Others(h)    Deferred tax assets (Net)(i)    Income tax assets (Net)(j)Other non-current assets","10,848.29438.0214.1243.5419.1727,113.11285.88286.13298.77923.82476.61344.23","11,309.58313.5514.6941.9827,101.28313.10318.89324.56415.00501.78253.05"
,Total-Non current assets,"41,091.69","40,907.46"
(2),Current assets(a)Inventories(b)Biological assets other than bearer plants(c)Financial assets(i)    Investments(ii)Trade receivables(iii)Cash and cash equivalents(iv)Bank balances other than (iii) above(v)Loans(vi)Others,"6,327.52170.901,313.883,974.271,367.80115.1512,441.841,784.30","6,079.68228.671,313.883.518.602,721.66109.3612,801.181.745.61"
,(d) Other current assets,"1,357.10","1,224.60"
,Total-Current assets,"28,852.76","29,743.24"
,Total Assets,"69,944.45","70,650.70"
(B),PniITTVAwnT f ARIT ITIF^,,
Uj U 1 1 1VJLiI/lUl JLjJL x iujEquity(a)Equity share capital(b)Other equity,"1,396.2727,689.92","1,396.2731,317.66",
,Total-Equity,"29,086.19","32,713.93"
(1),LiabilitiesNon-current liabilities(a)    Financial liabilities(i)    Borrowings(ii)    Other financial liabilities(b)    Provisions,"16,665.2956.23196.91","6,052.1350.52154.37"
,Total-Non-Current Liabilities,"16,918.43","6,257.02"
(2),Current liabilities(a)    Financial liabilities(i)    Borrowings(ii)Trade payables(iii)    Other financial liabilities(b)    Other current liabilities(c)    Provisions,"18,176.101,944.423,202.85433.19183.27","24,400.741,537.535,458.58190.0292.88"
,Total-Current Liabilities,"23,939.83","31,679.75"
,Total-Equity and Liabilities,"69,944.45","70,650.70"
