0,1,2,3
SI.No,Particulars,As at,
31.03.2018(Audited),31.03.2017(Audited),,
,"ASSETSNon-Current Assets(a) Property, Plant & Equipment","1,22,262","1,30,621"
,(b) Capital Work-in-Progress,15,208
,(c) Goodwill,70,70
,(d) Other Intangible Assets,18,46
,(e) Financial Assets(i) Investments,210,"1,188"
,(f) Other Non Current Assets,"2,278","3,241"
,Total Non Current assets,"1,24,853","1,35,374"
,Current Assets(a) Inventories,"64,041","53,299"
,(b) Financial Assets(i) Investments,"1,202",_
,(ii) Trade Receivables,"41,964","34,073"
,(iii) Cash & Cash Equivalents,"2,052","3,910"
,(iv) Other Bank balances,"1,129",854
,(v) Other financial assets,"6,937","6,759"
,(c) Other Current Assets,"13,037","4,866"
,Total Current assets,"1,30,362","1,03,761"
,Total Assets,"2,55,215","2,39,135"
,EQUITY AND LIABILITIESEquity(a) Equity Share Capital (Refer note no. 5),"3,695","3,695"
,(b) Other Equity,"1,53,303","1,24,901"
,Total Equity,"1,56,998","1,28,596"
,LIABILITIESNon-Current Liabilities(a) Financial Liabilities(i) Borrowings,"15,861","21,136"
,(b) Deferred Tax Liabilities (Net),"4,857","4,421"
,(c) Other Non-Current Liabilities,330,"8,008"
,Total Non Current Liabilities,"21,048","33,565"
,Current Liabilities(a) Financial Liabilities(i) Borrowings,"46,035","47,378"
,(ii) Trade Payables,"25,499","16,602"
,(iii) Other Financial Liabilities,"4,673","11,724"
,(b) Other Current Liabilities,554,681
,(c) Current Tax Liabilities(Net),408,589
,Total Current Liabilities,"77,169","76,974"
,Total Equity and Liabilities,"2,55,215","2,39,135"
