0,1,2,3
Sr No.,Particulars,As at31st March 2018(Audited),As at31st March 2017(Audited)
11,"ASSETSNon-Current Assets(a) Property,Plant and equipment","66,462.46","66,762.81"
,(b) Capital Work In Progress,988.54,336.27
,(c) Other Intangible assets,512.73,"686,70"
,(d) Intangible Assets under Development,295.94,295.94
,(e) Financial Assets(i) Investments,"7,440.41","5,481.99"
,(ii) Loans,565.63,553.45
,(iii) Other Financial assets,33.54,14.97
,(f) Income Tax Assets (Net),"1,204.06","1,062.23"
,(g) Other Non-Current assets,429.44,451.22
,Total Non-Current Assets,"77,932.75","75,645.58"
2,Current Assets(a) Inventories,"15,965.41","13,622.29"
,(b) Financial Assets(i) Investments,"39,715.75","43,652.70"
,(ii) Trade Receivables,"7,670.86","7,746.03"
,(iii) Cash and cash equivalents,"1,994.23","2,165.72"
,(iv) Bank balances other than Cash and cash equivalents,117.58,136.56
,(v) Loans,374.21,355.37
,(vi) Other Financial assets,540.36,417.73
,(c ) Other Current Assets,"4,332.04","2,204.96"
,Total Current Assets,"70,710.44","70,301.36"
,Total Assets,"1,48,643.19","1,45,946.94"
II,EQUITY and LIABILITIESEQUITY(a) Equity Share capital,"1,751.89","1,786.19"
,(b) Other Equity,"1,24,487.84","1,24,585.88"
,Total Equity,"1,26,239.73","1,26,372.07"
1,LIABILITIESNon-Current Liabilities(a) Financial Liabilities(i) Borrowings,60.45,69.48
,(ii) Other Financial Liabilities(b) Provisions,152.1036.00,36.00
,(c) Deferred tax Liabilities (Net),"1,516.23","1,736.97"
,Total Non-Current Liabilities,"1,764.78","1,842.45"
2,Current Liabilities(a) Financial Liabilities(i) Trade Payables,"9,695.08","7,465.88"
,(ii) Other Financial Liabilities,"6,173.63","5,625.19"
,(b) Other Current liabilities,394.30,685.28
,(c) Provisions,"2,756.94","2,484.60"
,(d) Current Tax Liabilities (Net),"1,618.73","1,471.47"
,Total Current liabilities,"20,638.68","17,732.42"
,Total Equity and Liabilities,"1,48,643.19","1,45,946.94"
