0,1,2,3,4,5
,Standalone,Consolidated,,,
,,As at Mar,As at Mar,As at Mar,As at Mar
,Particulars,"31,2018","31,2017","31,2018","31,2016"
,ASSETS,,,,
(i),Non-current assets,,,,
,"(a) Praperty, Plant and Equipment","53,993.76","59,366.61","56,371.11","59,727.03"
,(b) Capital work-in-progress,"1,740.23",376.25,"1,740.23",376.25
,(C) Goodwill,,,"5,314.00","5,314.00"
,(d) Other Intangible assets,997.01,"1,502.41","2,265.23","2,903.40"
,(e) Financial Assets,,,-,-
,(i) Investments,"18,292.47","31,880.88","4,995.79","16,584.20"
,f(if) Trade receivables,-,â€¢,-,-
,(ii) Loans,332.67,328.94,332.67,328.94
,(iv) others,344.10,350.26,344.10,350.26
,(f) Other nen-current assets,426.08,330.76,426.08,330.76
,TOTAL cjon.current assets,"78,126.32","94,136.11","71,789.21","B7,914.84"
