0,1,2
,Audited,Audited
Particulars,As at 31.03.2018,As at 31.03.2017
"ASSETSNon-Current assetsProperty, Plant and Equipment","3,118.47","2,956.65"
Capital work in progressGoodwill,"1,405.11327.26",257.54193.48
Other Intangible assetsFinancial Assets,286.51,153.61
Investments,,
Investment in Associate,365.88,319.83
Other Investments,718.15,980.82
Loans,81.47,72.62
Trade Receivables,6.43,-
Other financial assets,151.28,199.42
Deferred Tax Assets (net),19.60,16.16
Current tax assets (net),68.30,84.01
Other Non-Current assets,320.54,221.53
,"6,869.00","5,455.67"
Current assetsInventoriesFinancial Assets,"2,658.31","2,626.94"
Investments,"1,056.67","1,351.34"
Trade Receivables,"1,730.63","1,446.60"
Cash and Cash Equivalents,312.12,582.08
Other Balances with Banks,92.53,219.13
Loans,12.81,17.88
Other financial assets,580.78,421.66
Assets classified as held for sale,15.00,14.99
Other current assets,455.23,285.06
,"6,914.08","6,965.68"
,,
TOTAL ASSETS,"13,783.08","12,421.35"
EQUITY AND LIABILITIESEQUITYEquity Share CapitalOther Equity,95.92,95.92
Equity attributable to equity holders of the parent,"8,314.31","7,507.97"
Non-controlling interests,327.65,375.45
,"8,737.88","7,979.34"
LIABILITIESNon-Current LiabilitiesFinancial Liabilities,,
Borrowings,28.33,41.07
Other financial liabilities,4.99,7.20
Provisions,140.12,146.03
Deferred tax liabilities (net),417.12,359.19
Other Non-current liabilities,3.57,3.65
,594.13,557.14
Current LiabilitiesFinancial Liabilities,,
Borrowings,492.42,504.43
Trade Payables,"2,159.96","1,922.83"
Other financial liabilities,"1,363.73","1,039.79"
Other Current liabilitiesProvisionsCurrent tax liabilities (net),282.8956.6095.47,227.1449.13141.55
,"4,451.07","3,884.87"
,,
TOTAL EQUITY AND LIABILITIES NVVv//-Sv \v>\\,"13,783.08","12,421.35"
f/jw \r*\\----4Hn—MUMBAI—fMl-,,
