0,1,2,3
,Particulars,As at,
"March 31, 2018","March 31, 2017",,
Audited,Audited,,
A,ASSETS,,
1,Non-current assets,,
,"(a) Property, Plant and Equipment","2,180.07","2,509.24"
,(b) Capital work-in-progress,25.86,8.16
,(c) Investment property,102.00,102.00
,(d) Goodwill,"6,086.63","6,086.63"
,(e) Investment in an associate,-,-
,(0 Financial assets,525.96,577.02
,(g) Deferred tax assets (net),"1,227.65","1,346.28"
,(h) Income tax assets (net),"5,968.95","5,858.54"
,(i) Other non-current assets,672.82,714.59
,,"16,789.94","17,202.46"
2,Current assets,,
,(a) Financial assets,,
,(i) Trade receivables,"10,074.80","7,180.14"
,(ii) Cash and bank balances,"8,060.99","25,914.71"
,(iii) Other bank balances,"18,399.68","4,402.24"
,(iv) Other current financial assets,"5,388.90","4,916.81"
,(b) Income tax assets (net),72.22,78.03
,(c) Other current assets,545.08,513.97
,,"42,541.67","43,005.90"
,TOTAL - ASSETS,"59,331.61","60,208.36"
