0,1,2,3
AUDITED CONSOLIDATED STATEMENT OF ASSETS AND LIABILITIES,,,
,[? in Crores],,
,,As At,As At
,Particulars,31.03.2018,31.03.2017
,,Audited,Audited
,,,(Refer Note
,,,7)
,ASSETS,,
1,"Non-current Assets(a) Property,Plant and Equipment",3625.53,3480.07
,(b) Capital work-in-progress,89.74,49.69
,(c) Investment Property,34.48,43.74
,(d) Goodwill,137.02,17.92
,(e) Other Intangible Assets,165.19,130.48
,(f)    Intangible Assets Under Development(g)    Financial Assets,26.50,45.93
,(i) Investments,76.14,276.67
,(ii) Loans,2.57,2.77
,(iii) Other Financial Assets,260.51,238.90
,(h) Deferred Tax Assets (Net),220.51,224.21
,(i) Other Non-current assets,80.84,74.23
,Sub-Total - Non-current Assets,4719.03,4584.61
2,Current Assets,,
,(a)    Inventories(b)    Financial Assets,2619.38,2382.80
,(i) Trade Receivables,1766.98,794.82
,(ii) Cash & cash equivalents,39.46,20.93
,(iii) Bank balances other than(ii) above,26.03,32.95
,(iv) Loans,163.56,122.21
,(v) Other Financial Assets,107.15,181.18
,(c) Current Tax Assets (Net),118.84,110.13
,(d) Other current assets,698.00,438.35
,Sub-Total - Current Assets,5539.40,4083.37
,,,
,TOTAL - ASSETS,10258.43,8667.98
,EQUITY AND LIABILITIES,,
I,Equity(a) Equity Share Capital,258.62,258.36
,(b) Other Equity,3524.23,3308.62
,Sub-Total - Equity,3782.85,3566.98
2,Minority Interest,305.28,151.43
,Liabilities,,
3,Non - Current Liabilities(a) Financial Liabilities,,
,(i) Borrowings,848.71,756.63
,(ii) Other Financial Liabilities,44.02,44.98
,(b) Provisions,61.82,40.72
,(c) Deferred Tax Liabilities (Net),70.75,142.88
,(d) Government Grants,38.26,35.46
,(d) Other Non Current Liabilities,1.93,-
,Sub-Total - Non-current Liabilities,1065.49,1020.67
4,Current Liabilities(a) Financial Liabilities,,
,(i) Borrowings,2263.78,2025.34
,(ii) Trade Payables,2147.22,1426.52
,(iii) Other Financial Liabilities,469.00,337.35
,(b) Other Current Liabilities,187.61,114.48
,(c) Provisions,25.79,16.82
,(d) Government Grants,6.14,5.23
,(e) Current Tax Liabilities (net),5.27,3.16
,Sub-Total - Current Liabilities,5104.81,3928.90
,,,
,TOTAL - EQUITY AND LIABILITIES,10258.43,8667.98
