0,1,2,3,4,5
STATEMENT OF ASSETS AND LIABILITIES,Standalone,Conso,idated,,
,,As at current,As at previous year,As at current year,As at previous year
,,,end 31.03.2017,end 31.03.2018,end 31.03.2017
Sr. No.,Particulars,31.03.2018,,,
,,(Audited),(Audited),(Audited),(Audited)
,ASSETS,,,,
1.,"Non-currcnt assets(a) Property, Plant and Ivquipmenl","1,096.80","1,102.97","1,175.42",1.173.82
,(b) Capital work-in-progress,17.68,9.36,22.44,12.99
,(c)    Intangible assets(d)    Financial Assets,2.36,,2.36,
,(i) Investments,353.24,166.58,273.23,86.57
,(ii) Trade receivables,7.99,7.99,7.99,7.99
,(iii) Loans,47.18,25.00,16.71,18.74
,(iv) Other financial assets,0.03,0.07,0.03,0.07
,(e) Deferred lax assets,154.63,78.53,154.63,78.53
,(0 Non-current lax assets (net),4.87,4.10,4.87,4.10
,(g) Other non-current assets,53.17,27.16,53.18,27.16
,Total non-current assets,"1,737.95","1,421.76","1,710.86","1,409.97"
2.,Current assets(a)    Inventories(b)    Financial Assets,415.20,392.07,420.12,395.89
,(i) Investments,,0.25,0.01,0.38
,(ii) Trade receivables,269.89,215.61,271.80,221.20
,(iii) Cash and cash equivalents,17.18,11.33,19.89,12.05
,(iv) Bank balances other than cash and cash equivalents,14.31,24.66,14.31,24.66
,(v) Loans,2.68,4.19,3.16,4.84
,(vi) Other financial assets,8.12,10.62,7.99,8.64
,(c) Other current assets,102.27,93.81,122.76,112.72
,Total current assets,829.65,752.54,860.04,780.38
,,,,,
,TOTAL ASSETS,"2,567.60",2.174.30,"2,570.90",2.190.35
,EQUITY AND LIABILITIESEQUITY(a) Equity Share capital,41.84,41.84,41.84,41.84
,(b) Other Equity,"1,414.48","1,036.26","1,372.82",988.26
,Equity attributable to the owners of the Company,"1,456.32","1,078.10","1,414.66","1,030.10"
,(c) Non-controlling interest,,,(0.26),(0.37)
,Total equity,"1,456.32","1,078.10","1,414.40","1,029.73"
,LIABILITIES,,,,
1.,Non-current liabilities(a) Financial liabilities,,,,
,(i) Borrowings,231.19,387.03,231.19,387.03
,(ii) Derivatives,5.84,8.82,5.84,8.82
,(iii) Other financial liabilities,0.26,0.26,0.26,0.26
,(b) Provisions,2.55,1.79,2.55,1.79
,(c) Deferred lax liabilities (net),251.74,89.74,251.74,89.74
,Total non-current liabilities,491.58,487.64,491.58,487.64
2.,Current liabilities(a) Financial liabilities,,,,
,(i) Borrowings,364.23,338.69,364.23,
,(ii) Trade Payables,118.26,149.31,146.22,178.30
,(iii) Derivatives,1.86,45.94,1.8676.5974.81,45.9439.83
,(iv) Other financial liabilities,76.59,39.67,,
,(b) Other current liabilities,57.57,31.68,,
,(c)    Provisions(d)    Current lax liabilities (net),0.400.79,0.183.09,0.400.81,0.18
,Total current liabilities,619.70,608.56,,
,,,,,
,TOTAL EQUITY AND LIABILITIES,"2,567.60",2.174.30,"2,570.90","2,190.35"
