0,1,2,3,4,5
(2)(1),LIABILITIESNon-Current Liabilitiesa)    Financial Liabilitiesi.    Borrowingsii.    Other financial liabilitiesb)    Provisionsc)    Deferred Tax Liabilities (net)d)    Other non-current liabilities,315648.47365.3421314.25282.17,107422.36190.25523.5618334.44249.76,351603.7718.74376.3321314.25282.17,143198.38190.25523.5618334.44249.76
,Total Non - Current Liabilities,337610.23,126720.37,373595.26,162496.39
(ID,Current Liabilitiesa) Financial Liabilitiesi. Borrowings,245218.47,307758.94,256299.07,318589.73
,ii. Trade Payables,31058.79,22735.56,31973.35,24057.41
,iii. Other financial liabilities,36331.13,36836.37,36978.73,36857.97
,b) Other Current Liabilities,2190.94,2856.80,4084.49,4651.34
,c) Provisions,2985.26,2682.32,3086.82,2745.40
,d) Income Tax Liabilities (net),-,-,117.51,584.75
,e) Liabilities directly associated with assets classified as held forsale,,51634.18,.,51634.18
,Total Current Liabilities,317784.59,424504.17,332539.97,439120.78
,Total Liabilities,655394.82,551224.54,706135.23,601617.17
,Total Equity and Liabilities,945236.76,804748.73,947954.92,805713.88
