0,1,2
Pjrbnbn,At atMarch 31.201*(Audited1,■» _At atMarth‘31.2017(Audited)
ASSETS,,—
1 Nui Cannl Aimc»,,
"<•1 Propertt, Plant ud Equipment",*2*76,*515*
<1)1( apical aarl-ia-progrett,JIT,510
4(1 (i tod a ill Mi (MuMit.cn,1919*,19103
(d> Intantlble AlH«,9146,10615
|(| linaactal Audit,,
|i) latetlrarnlt,•,• 1
lia) Trade i«ciilNo,547,2641
(M) Other financial iwh,,2I9SO
10 Deferred cat autta (mi),2650,1332
(1) NoaCurrenI Tat Audit (Net),6515,5201
|h| Other MMtmM >m«,urn,20053
Total Non-Current Attett,PWI5,I6’39J
2 r«rriiil Aiwlt,,
(a) Intentoriet,62741,39467 1
(hi f laoaelal Attett,,
(i) lotruatcalt,3929,13039 |
<ii) Tr»4f rftritahln,503*93,42(a)36 |
liiiKath and eath eqenalenli,1*390,175531
(itlBaai balancer other ckan tin! abate,3*31,3244
|i I Loam,6044,6240
|t tiOther financial aicrtt,2135*3,157102
lei C urrroi Tot Atteet(Ne«|,9*62,5416
Idl (Jeter cue rent attelt,60411,43324
Total C urrent Attett,mvu,705411
Total Atteat,1053*99,*72*14
EQl ITY AND I.IABIUTIES,,
fatln,,
la) fqnilt Share capital,5142,5142
(b) Other Equity,I94MJ,153494
Toul Fqaret,199*45,156436
LIABILITIES,,
1 Sor-Curre«i labililin,,
(a) f atancial I iabditira,,
10Borroaint',*3*44,77546 1
Ibl Protitioat,I’M,1459
(el Deferred lot liaMtcaot (NeO,12720,13732 |
Total Non C urrent lietilaitea,turn?,9275-1
2 Cmrrtnl li»b*<in,,
(at financial Liahilibet,,
"(1) Barron,net",9009*,123254 I
Trade patablet,465717,3167201
<iii) Olhrr fir sncial,170*5,12417 :
(b) Other cnrrenl liatdrtici,174624,155226
|e| Protitioat,*329,10273 |
|d|C*rr»ol T»« I afcilit** (Nrt),997J,3531
T*aal current llajpIltMt,765*22,621421
___,I65J**9,*12*14
