0,1,2
Head,As at Mar31 2018,As at Dec 131 2017
Assets,,
"Property, plant and equipment and intangible","5,450","5,414"
Capital work-in-progress,"2,481","2,563"
Deferred tax assets,"1,469","1,336"
Other non-current assets & investments in associates,"1,515","1,571"
Trade receivables and unbilled revenue,"8,699","7,729"
Other current assets,"1,273","1,319"
Cash and cash equivalents (inc. restricted),"6,129","5,521"
Total assets,"27,015","25,453"
Equity and liabilitiesEquity,,
Equity Share capital,594,594
Other Equity and reserves,"20,588","19,479"
Total equity,"21,182","20,073"
Liabilities,,
Non-current liablities,48,31
Trade payables,"2,299","2,204"
Other current liablities,"2,580","2,258"
Provisions,906,887
Total liabilities,"5,833","5,380"
,,
Total equity and liabilities,"27,015","25,453"
