0,1,2,3,4
PARTICULARS,STANDALONE,CONSOLIDATED,,
,31-Mar-2018,31-Mar-2017,31-Mar-2018,31-Mar-2017
,Audited,Audited,Audited,Audited
"AssetsNon-currentassetsProperty, plant and equipment","22,043.79","22,542.06","22,259.68","22,763.86"
Capital work-in-progress,"2,340.79","1,810.11","2,340.79","1,810.11"
Investment property,"2,882.21","3,707.16","2,882.21","3,707.16"
Other intangibles assets,587.64,741.81,588.58,741.95
Intangible Assets under development,"2,844.04","3,762.27","2,844.04","3,762.27"
Investments accounted using equityâ€™ method,-,-,"21,718.83","15,159.67"
Financial assetsInvestments,"21,898.95","15,376.18",,
Loans,"3,378.54","3,109.81","3,388.55","3,123.10"
Other financial assets,85.60,87.95,145.71,132.27
Deferred tax assets (net),"30,289.64","26,571.97","30,488.24","26,732.38"
Non-current tax assets (net),101.39,424.08,319.94,736.75
Other non-current assets,972.61,785.79,973.02,789.36
Total Non-current assets,"87,425.20","78,919.19","87,949.59","79,458.88"
Current assetsInventories,110.19,105.44,112.72,108.92
Financial assetsInvestments,"2,501.60","37,866.17","2,501.60","38,123.21"
Trade receivables,"54,492.59","38,307.82","56,191.27","39,861.29"
Cash and cash equivalents,"2,456.37","15,745.08","3,031.43","15,884.87"
Other bank balances,"2,45,606.76","2,15,304.16","2,50,682.57","2,19,896.49"
l/>ans,"1,033.86","1,076.42","1,275.17","1,339.87"
Other financial assets,"35,632.33","38,373.16","35,825.44","38,688.55"
Other current assets,"13,772.68","6,162.67","13,823.71","6,231.37"
Total Current assets,"3,55,606.38","3,52,940.92","3,63,443.91","3,60,134.57"
Total Assets,"4,43,031.58","4,31,860.11","4,51,393.50","4,39,593.45"
Equity and liabilitiesEquityEquity share capital,"31,595.58","33,693.67","31,595.58","33,693.67"
Other equity,"1,95,191.69","2,43,902.32","2,02,526.67","2,50,791.84"
Non Controlling Interest,-,-,-,-
Total Equity,"2,26,787.27","2,77,595.99","2,34,122.25","2,84,485.51"
LiabilitiesNon-current liabilitiesFinancial liabilitiesOther financial liabilities,650.38,119.23,651.26,132.57
Provisions,727.91,762.86,"1,216.02","1,171.19"
Other non-current liabilities,860.99,"1,222.91",861.02,"1,222.95"
Total Non-current liabilities,"2,239.28","2,105.00","2,728.30","2,526.71"
Current liabilitiesFinancial liabilitiesTrade payables,"21,801.03","22,289.71","21,708.41","22,294.00"
Other financial liabilities,"41,646.91","29,733.18","41,938.04","29,819.28"
Other current liabilities,"1,02,766.11","48,543.13","1,02,957.41","48,743.20"
Provisions,"46,666.55","45,577.03","46,700.78","45,612.42"
Current tax liabilities (net),"1,124.43","6,016.07","1,238.31","6,112.33"
Total Current liabilities,"2,14,005.03","1,52,159.12","2,14,542.95","1,52,581.23"
Total Equity' and liabilities,"4,43,031.58","4,31,860.11","4,51,393.50","4,39,593.45"
,,,,
