0,1,2,3
,Particulars,As at 31.03.2018,As at 31.03.2017
,Audited,Audited,
A1,"ASSETSNon-current Assets:(a) Property, plant and equipment",1287.69,1232.78
,(b) Capital work-in-progress,8.19,8.23
,(c) Other intangible assets,49.18,46.23
,(d) Intangible assets under development,32.19,28.01
,(e) Financial assets(i) Investments,1028.51,440.65
,(ii) Loans,6.87,6.64
,(iii) Others,19.55,46.89
,(f) Other non-current assets,2.09,3.18
,Sub-total Non-current Assets,2434.27,1812.61
2,Current Assets:(a) Inventories,414.05,750.76
,(b) Financial assets(i) Investments,0.01,5.22
,(ii) Trade receivables,1719.88,1480.37
,(iii) Cash and cash equivalents,593.15,554.48
,(iv) Bank balances other than (iii) above,0.98,1.27
,(v) Loans,1569.55,1466.97
,(vi) Others,45.55,204.27
,(c) Current tax assets (net),84.27,51.86
,(d) Other current assets,478.93,902.69
,Sub-total Current Assets,4906.37,5417.89
3,Assets classified as held for sale anddiscontinued operations,74.80,160.63
,TOTAL-ASSETS,7415.44,7391.13
B,EQUITY AND LIABILITIESEquity(a) Equity Share capital,125.35,125.35
,(b) Other equity,3715.36,4073.94
,Sub-total Equity,3840.71,4199.29
1,LiabilitiesNon-current Liabilities:(a) Financial liabilities(i) Borrowings,836.65,503.60
,(ii) Other financial liabilities,1.46,"1,10"
,(b) Provisions,53.30,59.77
,(c) Deferred tax liabilities (net),12.14,214.75
,Sub-total Non-current Liabilities,903.55,779.22
2,Current Liabilities:(a) Financial liabilities(i) Borrowings,631.14,710.23
,(ii) Trade payables,1252.83,1091.33
,(iii) Other financial liabilities,411.59,255.36
,(b) Other current liabilities,273.62,285.97
,(c) Provisions,101.12,68.75
,Sub-total Current Liabilities,2670.30,2411.64
3,Liabilities associated with group of assets classifiedas held for sale and discontinued operations,0.88,0.98
,TOTAL - EQUITY AND LIABILITIES,7415.44,7391.13
