0,1,2,3,4,5
',,Standalone,Consolidated,,
SI.No.,Particulars,As at31.03.2018,As at31.03.2017,As at31.03.2018,As at31.03.2017
,,Audited,Audited,Audited,Audited
A,ASSETS,,,,
1,"Non-current assets(a) Property, plant and equipment",5888.74,3877.83,5888.74,3877.83
,(b) Capital work-in-progress,1409.80,2756.61,1409.80,2756.61
,(c) Intangible assets,24.79,5.00,24.79,5.00
,(d) Intangible assets under development,-,5.97,-,5.97
,(e)    Investment in Joint Ventures(f)    Financial assets,11.83,11.83,152.44,139.90
,(i) Investments,0.11,0.11,0.11,0.11
,(ii) Loans,34.86,33.79,34.86,33.79
,(iii) Other Financial Assets,47.80,47.41,47.80,47.41
,(g) Income tax assets (Net),11.60,-,11.60,-
,(h) Other non-current assets,48.00,97.50,48.00,97.50
,Sub Total - Non-Current Assets,7477.53,6836.05,7618.14,6964.12
2,Current assets,,,,
,(a)    Inventories(b)    Financial assets,4759.22,3207.13,4759.12,3207.06
,(i) Trade receivables,1569.49,1040.40,1569.49,1039.70
,(ii) Cash and cash equivalents,0.04,0.26,0.04,0.26
,(iii) Other bank balances,8.66,16.67,8.66,16.67
,(iv) Loans,23.47,27.00,23.47,27.00
,(v) Other Financial Assets,26.05,11.20,26.05,11.20
,(c) Other current assets,301.03,356.86,301.03,356.86
,Sub Total - Current Assets,6687.96,4659.52,6687.86,4658.75
,,,,,
,Total Assets,14165.49,11495.57,14306.00,11622.87
B,EQUITY AND LIABILITIES,,,,
1,Equity(a) Share capital,149.00,149.00,149.00,149.00
,(b) Other Equity,3707.49,3164.80,3848.00,3292.10
,Sub Total - Equity,3856.49,3313.80,3997.00,3441.10
,LIABILITIES,,,,
2,Non-current liabilities(a) Financial liabilities,,,,
,(i) Borrowings,825.90,2324.27,825.90,2324.27
,(b) Provisions,232.62,133.15,232.62,133.15
,(c) Deferred Tax Liabilities (Net),206.20,24.25,206.20,24.25
,(d) Other non current liabilities,6.05,40.38,6.05,40.38
,Sub Total - Non-Current Liabilities,1270.77,2522.05,1270.77,2522.05
3,Current liabilities(a) Financial liabilities,,,,
,(i) Borrowings,2063.00,3173.44,2063.00,3173.44
,(ii) Trade Payables,4443.65,1652.16,4443.65,1652.16
,(iii) Other financial liabilities,2057.99,424.79,2057.99,424.79
,(b) Other current liabilities,385.81,254.66,385.81,254.66
,(c) Provisions,87.78,136.59,87.78,136.59
,(d) Current tax liabilities (Net),-,18.08,-,18.08
,Sub Total - Current Liabilities,9038.23,5659.72,9038.23,5659.72
,,,,,
,Total Equity and Liabilities,14165.49,11495.57,14306.00,11622.87
,Jâ€”-J,,,,
