0,1,2
Particulars,"As atMar 31,2018","As atMar 31,2017"
Assets,,
Non-current assets,"2,170,826","2,150,614"
Current assets,"334,990","182,038"
Total assets,"2,505,816","2,332,652"
Liabilities,,
Non-current liabilities,"939,934","954,742"
Current liabilities,"782,399","634,597"
Total liabilities,"1,722,333","1,589,340"
Equity & Non Controlling Interests,,
Equity,"695,344","674,563"
Non controlling interests,"88,139","68,750"
Total Equity & Non Controlling Interests,"783,483","743,313"
Total Equity and liabilities,"2,505,816","2,332,652"
