0,1,2
,As at,As at
Particulars,March 312018,March 31 2017
,(Audited),(Audited)
EQUITY AND LIABILITIESEQUITY(a) Equity share capital,28500,28500
(b) Other equity,851846,897021
880346,925521,
LIABILITIESNon-current liabilities(a) Financial liabilities,,
(i) Borrowings,15000,15500
(ii) Other financial liabilities,3601,4270
(b) Provisions,21101,22874
(c) Other liabilities,45310,43997
Total Non-current liabilities,85012,86641
Current liabilities(a) Financial liabilities,,
(i) Borrowings,36890,58225
(ii) Trade payables,129847,117415
(iii) Other financial liabilities,48939,50695
(b) Provisions,3156,3215
(c) Current tax liability (net),55429,25547
(d) Other liabilities,50656,47269
Total Current liabilities,324917,302366
,,
TOTAL EQUITY AND LIABILITIES,1290275,1314528
