0,1,2
,"As at March31, 2018(Audited)","As at March31, 2017(Audited)"
ASSETS,,
Non-current assets,,
"Property, plant and equipment","1,548.86","2,268.70"
Capital work-in-progress,137.33,152.76
Investment property,"5,360.69","21,191.58"
Goodwill,"1,009.16","1,010.96"
Other intangible assets,163.57,168.96
Investments in joint ventures and associates,"19,720.56","1,048.98"
Financial assets,,
Investments,111.41,108.55
Loans,279.52,442.41
Other financial assets,189.63,360.90
Deferred tax assets (net),"2,071.70","4,390.54"
Non-current tax assets (net),"1,128.36","1,426.42"
Other non-current assets,"1,480.70","1,715.90"
,"33,201.49","34,286.66"
Current assets,,
Inventories,"19,752.92","20,098.80"
Financial assets,,
Investments,999.58,51.73
Trade receivables,"1,285.79","1,417.36"
Cash and cash equivalents,"1,356.24","3,412.59"
Other bank balances,921.69,686.34
Loans,"1,297.96",415.94
Other financial assets,"2,201.21","2,747.59"
Other current assets,"1,138.96",869.72
Assets classified as held for sale (refer note 16),500.39,-
,"29,454.74","29,700.07"
,"62,656.23","63,986.73"
