0,1,2
,As at 31 March,As at 31 March
,2018,2017
,{Audited),(Audited)
A ASSETS,,
1 Non-current assets,,
"{a) Property, plant & equipment","5,207.6","5,076.4"
{b) Capital work-in progress,267.6,232.3
{c) Intangible assets,100.9,115.0
<d) Financial assets,,
{i) Investments,717.1,662.6
{ii) Other bank balances,6.0,6.0
Cii Loans,3.4,4.0
{iv) Other financial assets,77.7,90.0
{e) Other non-current assets,559.2,632.5
Sub total - Non-current assets,"7,019.5","6,820.4"
2 Current assets,,
{a) Inventories,"3,508.1","4,054.3"
{b) Financial assets,,
{i) Investments,"5,015.0","2,693.1"
{ii) Trade receivables,"3,952 9","4,120.5"
{iii) Cash & cash equivalents,662.3,167.4
{rv) Bank balances other than {iii) above,179.3,173.0
{v) Loans,6.7,13.2
{vi) Other financial assets,172.3,112.0
{c) Other current assets,"1,320.7",600.5
{d) Current tax assets {net),467.1,*
Sub total - Current assets,15.293.2,12.014.8
TOTAL - ASSETS,"22,312.7","18,835.2"
