0,1,2,3,4
,Standalone,Consolidated,,
Particulars,As at31/03/2018,As at31/03/2017,As at31/03/2018,As at31/03/2017
,Audited,Audited,Audited,Audited
"1. ASSETS(1) Non-Current Assets(a) Property, Plant and Equipment","2,10,074","2,07,319","2,10,074","2,07,319"
(b) Capital work-in-progress,"24,789","14,337","24,789","14,337"
(c) Other Intangible Assets,361,27,361,27
(d) Intangible assets under development,389,737,389,737
(e) Financial Assets(i) Investments :a) Investment in Joint Venture,"15,200",300,"14,969",150
b) Other investments,"99,286","1,00,295","99,286","1,00,295"
(ii) Loans,56,75,56,75
(iii) Other Financial Assets,"1,974","1,974","1,974","1,974"
(f) Income Tax Assets (Net),"9,228","9,273","9,254","9,299"
(g) Other Non-Current Assets,"8,378","8,046","8,378","8,046"
Total Non- Current Assets,"3,69,735","3,42,383","3,69,530","3,42,259"
(2) Current Assets(a) Inventories,"26,547","16,990","26,547","16,990"
(b) Financial Assets(i) Other Investments,230,"1,121",230,"1,121"
(ii) Trade receivables,"40,328","32,875","40,328","32,875"
(iii) Cash and cash equivalents,"7,071","6,788","7,071","6,788"
(iv) Bank Balance other than (iii) above,"6,340","6,320","6,340","6,320"
(v) Loans,"37,629","29,213","37,629","29,213"
(vi) Other Financial Assets,"2,829","2,611","2,829","2,611"
(c) Other Current Assets,"6,525","5,360","6,525","5,360"
Total Current Assets,"1,27,499","1,01,278","1,27,499","1,01,278"
Total Assets,"4,97,234","4,43,661","4,97,029","4,43,537"
II. EQUITY AND LIABILITIESEquity(a) Equity Share Capital,"7,344","7,344","7,344","7,344"
(b) Other Equity,"3,74,919","3,28,334","3,74,758","3,28,226"
Total Equity,"3,82,263","3,35,678","3,82,102","3,35,570"
LiabilitiesNon-Current Liabilities(a) Financial Liabilities(i) Borrowings,"22,981","28,435","22,981","28,435"
(b) Provisions,"9,071","8,050","9,071","8,050"
(c) Deferred Tax Liabilities (Net),"35,098","30,642","35,071","30,626"
Total Non-Current liabilities,"67,150","67,127","67,123","67,111"
Current Liabilities(a) Financial Liabilities(i) Borrowings,433,683,433,683
(ii) Trade Payables,"27,856","22,577","27,856","22,577"
(iii) Other financial liabilities,"14,106","14,284","14,106","14,284"
(b) Provisions,770,579,770,579
(c) Income Tax Liabilities (Net),"3,384",819,"3,367",819
(d) Other Current Liabilities,"1,272","1,914","1,272","1,914"
Total Current Liabilities,"47,821","40,856","47,804","40,856"
Total Liabilities,"1,14,971","1,07,983","1,14,927","1,07,967"
Total Equity and Liabilities,"4,97,234","4,43,661","4,97,029","4,43,537"
