0,1,2,3,4,5
,,Standalone,Consolidated,,
,,,,,
,,Asat,Asat,,
,,31 March 2018,31 March 2017,31 March 2018,31 March 2017
,ASSETS,,,,
1,Mon-current assets,,,,
,"[a) Property, plant and equipment","6,124.30","6,371.46","6,323.16","6,587.33"
,'b) Capital work-in-progress,141.78,29.73,143.75,29.73
,(c) Goodwill,-,-,0.12,0.12
,(d) Other intangible assets,19.19,20.10,19.21,21.14
,(e)    Investment accounted for using the equity method(f)    Financial assets,,,250.73,219.03
,(i) Investments,484.14,480.19,187.62,183.68
,(ii) Loans,39.91,22.90,33.99,70.54
,(iii) Other financial assets,0.40,0.09,0.40,0.09
,(g) Deferred tax assets (net),-,119.15,-,112.28
,(h) Current tax assets,4.74,-,37.34,-
,(i) Other non-current assets,56.51,28.72,64.40,28.72
2,Current assets(a)    Inventories(b)    Financial assets,"2,012.36","1,754.68","2,384.47","2,096.54"
,(i) Investments,0.47,0.97,0.47,0.97
,(ii) Trade receivables,828.29,805.01,906.81,889.52
,(iii) Cash and cash equivalents,20.52,35.24,46.90,45.59
,(iv) Bank balances other than(iii) above,16.08,5.82,16.08,5.82
,(v) Loans,11.63,23.86,6.64,23.88
,(vi) Other financial assets,22.08,117.21,22.08,117.21
,(c) Current tax assets (net),17.02,59.09,13.99,65.90
,(d) Other current assets,364.90,396.65,375.91,411.78
,TOTAL-ASSETS,"10,164.32","10,270.87","10,834.07","10,909.87"
,EQUITY AND LIABILITIESEQUITY(a) Equity share capital,95.84,79.89,95.84,79.89
,(b) Other equity,"2,255.78","1,661.32","2,369.36","1,734.10"
,(c) Non-controlling interests,,,8.99,6.07
,LIABILITIES,,,,
1,Non-current liabilities,,,,
,(a) Financial liabilities,,,,
,(i) Borrowings,"3,550.90","3,381.99","3,550.90","3,381.99"
,(ii) Other financial liabilities,50.73,14.41,50.73,14.41
,(b) Provisions,4.65,7.40,12.31,13.42
,(c) Deferred tax liabilities (net),45.52,-,58.95,-
,(d) Other non-current liabilities,349.35,111.70,349.35,111.70
2,Current liabilities,,,,
,(a) Financial liabilities,,,,
,(i) Borrowings,765.54,"1,738.13","1,051.51","1,997.75"
,(ii) Trade payables,"1,940.23","1,643.59","2,132.52","1,864.91"
,(iii) Other financial liabilities,878.02,"1,227.64",878.02,"1,227.65"
,(b) Other current liabilities,227.42,404.25,275.25,477.43
,(c) Provisions,0.34,0.55,0.34,0.55
,TOTAL - EQUITY AND LIABILITIES,"10,164.32","10,270.87","10,834.07","10,909.87"
