0,1,2,3
,,STANDALONE,
,Particulars,As At,
,,31.03.2018,31.03.2017
,,Audited,Audited
A,ASSETS,,
1,"Non-current assetsProperty, plant and equipment",198933,155570
,Capital work-in-progress,11976,44357
,Intangible assetsFinancial assets,655,325
,a) Investments,737,837
,b) Loans,-,1856
,c) Other financial assets,3885,3843
2,Other non-current assets,9201,10305
,Sub-total: Non-current assets,225387,217093
,Current assets,,
,InventoriesFinancial assets,128139,125576
,a) Investments,188929,163072
,b) Trade receivables,111211,100289
,c) Cash and cash equivalents,417,855
,d) Bank balances other titan c) above,8731,5792
,e) Loans,1486,553
,f) Other financial assets,1372,1493
,Other current assets,15106,6285
,Sub-total: Current assets,455391,403915
,TOTAL ASSETS,680778,621008
B,EQUITY AND LIABILITIES,,
I,Equity:Share Capital,5309,5309
,Other Equity,590656,535582
,a) Reserves and Surplus,,
,Sub-total: Shareholders’ funds,595965,540891
2,Liabilities:Non-current liabilitiesFinancial liabilitiesa) Borrowings,,
,Provisions,1495,1530
,Deferred tax liabilities (net),19269,13003
,Sub-total: Non-current liabilities,20764,14533
,Current LiabilitiesFinancial liabilities,,
3,a) Borrowings,6311,3574
,b) Trade payables,40565,44230
,c) Other financial liabilities,12908,13722
,Other current liabilities,4171,3930
,Provisions,94,128
,Current tax liabilities (net),—,—
,Sub-total: Current liabilities,64049,65584
,Total Liabilities,84813,80117
,TOTAL EQUITY AND LIABILITIES,680778,621008
